GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,MomentMean,NewCol1,NewCol2,NewCol3,NewCol4,NewCol5
0,0.573226297,0.147218221,0.883478428,0.358957636,-469.6414211,-0.118008763070081,-0.41115336598819,-0.413267589820702,-0.68396226093672,-0.822691865650599
0.1001001,0.571872865,0.152487902,0.885586332,0.362511788,-464.4731455,-0.139067088622635,-0.418162441324603,-0.431687251088431,-0.689219260704696,-0.819871629447653
0.2002002,0.574029592,0.163262741,0.887889028,0.371051088,-459.3048699,-0.16012541417519,-0.425171516661015,-0.45010691235616,-0.694476260472672,-0.817051393244706
0.3003003,0.571811014,0.171707149,0.882451021,0.376294439,-454.0761819,-0.181183739727746,-0.432180591997428,-0.468526573623889,-0.699733260240648,-0.81423115704176
0.4004004,0.578912853,0.17989962,0.890374304,0.380494559,-448.4836147,-0.2022420652803,-0.43918966733384,-0.486946234891618,-0.704990260008624,-0.811410920838814
0.500500501,0.578574689,0.186481584,0.890019538,0.383567507,-442.9578693,-0.223300391043228,-0.446198742740274,-0.505365896343359,-0.710247259829118,-0.808590684607694
0.600600601,0.574820861,0.195436114,0.88877328,0.38886982,-437.5024241,-0.244358716595783,-0.453207818076686,-0.523785557611088,-0.715504259597094,-0.805770448404748
0.700700701,0.573050141,0.205129601,0.88601581,0.394517956,-432.1937463,-0.265417042148338,-0.460216893413099,-0.542205218878817,-0.72076125936507,-0.802950212201802
0.800800801,0.570073019,0.215362359,0.882967976,0.399419932,-426.8872326,-0.286475367700893,-0.467225968749512,-0.560624880146545,-0.726018259133046,-0.800129975998856
0.900900901,0.572699486,0.223166126,0.88307114,0.403506154,-422.1182069,-0.307533693253448,-0.474110270606406,-0.579044541414274,-0.731275258901023,-0.79730973979591
1.001001001,0.570622799,0.231434085,0.877472299,0.408651757,-417.3883449,-0.321347343382824,-0.479367270776117,-0.597464202682003,-0.736532258668999,-0.794489503592964
1.101101101,0.566344533,0.239271688,0.871020727,0.414814689,-412.6584829,-0.326598046783538,-0.483686972710698,-0.615883863949732,-0.741789258436975,-0.791669267390018
1.201201201,0.56216609,0.245586479,0.865862363,0.418930658,-408.4784367,-0.331848750184253,-0.48789316137605,-0.634303525217461,-0.747554191525569,-0.788849031187072
1.301301301,0.557744994,0.253559317,0.859213318,0.423306513,-405.9745236,-0.337099453584967,-0.492099350041402,-0.65272318648519,-0.755965578688944,-0.786028794984126
1.401401401,0.557364181,0.259884845,0.855144062,0.426541244,-403.4706104,-0.359823618013299,-0.502258294250776,-0.661463140959861,-0.764376965852319,-0.78320855878118
1.501501502,0.552429529,0.268826336,0.846351863,0.431028672,-400.8445451,-0.352382547528324,-0.512774236629658,-0.669874528207266,-0.770987147251127,-0.780388322550059
1.601601602,0.546334328,0.274662841,0.838252481,0.435529137,-398.5783799,-0.367843326054203,-0.523290178903487,-0.678328938649135,-0.770993345433166,-0.777568086347113
1.701701702,0.541302746,0.280562828,0.833444584,0.439613717,-395.9206103,-0.37876736176869,-0.535957439254495,-0.688844881548175,-0.770999543615205,-0.774747850144167
1.801801802,0.535886557,0.284457113,0.823839359,0.441600313,-393.2478558,-0.38928330410504,-0.548095525083704,-0.694932177077957,-0.771797346898991,-0.771927613941221
1.901901902,0.533909266,0.293124537,0.819356977,0.446845877,-390.5746631,-0.399616532924373,-0.548101723717634,-0.70068685156928,-0.774803007600381,-0.767983556617211
2.002002002,0.528714015,0.29817228,0.81067044,0.450012352,-386.909064,-0.403822721575474,-0.548107922091273,-0.706694630065688,-0.777808668301772,-0.763495532620228
2.102102102,0.521111905,0.302676066,0.80409833,0.452588477,-381.8256514,-0.408028910226575,-0.548114120160339,-0.712702408562096,-0.780814329003162,-0.759007508623245
2.202202202,0.511807474,0.3059795,0.794859857,0.455991484,-376.7422389,-0.411346235378635,-0.555378080989459,-0.718710187058504,-0.783414435956943,-0.754519484626261
2.302302302,0.505777986,0.30851895,0.786161273,0.459306127,-371.5687585,-0.404497310293828,-0.565894022950682,-0.724315549507958,-0.782380865656397,-0.752876732673131
2.402402402,0.501290518,0.314027021,0.780601034,0.463379733,-363.6576044,-0.397648385209021,-0.572248541426975,-0.729572549298201,-0.780479696122163,-0.75365222014097
2.502502503,0.495317206,0.317721049,0.772945156,0.465594789,-354.3052319,-0.403735156296729,-0.578256319983401,-0.735016147008717,-0.778578526568936,-0.754427707616556
2.602602603,0.487846978,0.319139797,0.766357962,0.46915669,-345.0241831,-0.416293231605726,-0.584264098479809,-0.741324283347751,-0.776677357034701,-0.755203195084394
2.702702703,0.476339185,0.319795325,0.753576658,0.472004279,-335.7980204,-0.421983711604982,-0.590271876976217,-0.747632419686785,-0.774776187500467,-0.742882489710057
2.802802803,0.46983942,0.321034804,0.749258125,0.475950578,-324.0921791,-0.415550584116916,-0.597693110292614,-0.752491871832825,-0.772875017966233,-0.740107971279348
2.902902903,0.466496073,0.324029751,0.745018745,0.477749625,-311.5780738,-0.409740284964553,-0.597699308474632,-0.752498070014864,-0.771181053102572,-0.737620295882865
3.003003003,0.459553826,0.323479432,0.737255771,0.479334908,-299.0322046,-0.407124129387995,-0.59770550665665,-0.752504268196903,-0.773146717459346,-0.716311571719741
