GaitPhase,pMMGMean_5,NewCol5
0,-5.122997894,-0.783009145
0.1001001,-5.121583143,-0.793023003
0.2002002,-5.122034993,-0.797157578
0.3003003,-5.119582725,-0.799496462
0.4004004,-5.109100585,-0.801835346
0.500500501,-5.096831369,-0.80417423
0.600600601,-5.081771497,-0.806513114
0.700700701,-5.072735204,-0.808385339
0.800800801,-5.06222227,-0.809703475
0.900900901,-5.047931644,-0.811021612
1.001001001,-5.027012874,-0.812339748
1.101101101,-5.004895641,-0.813657885
1.201201201,-4.988833398,-0.814008497
1.301301301,-4.975607526,-0.8174744
1.401401401,-4.955724683,-0.820473983
1.501501502,-4.928565649,-0.823473566
1.601601602,-4.891679122,-0.826613658
1.701701702,-4.87455299,-0.837129601
1.801801802,-4.859999116,-0.847645543
1.901901902,-4.837825658,-0.852593443
2.002002002,-4.804528561,-0.854698986
2.102102102,-4.757386654,-0.856804529
2.202202202,-4.728769107,-0.855919117
2.302302302,-4.711817911,-0.85382727
2.402402402,-4.682860394,-0.851735423
2.502502503,-4.647148308,-0.848557564
2.602602603,-4.579950371,-0.851198639
2.702702703,-4.537258625,-0.853839714
2.802802803,-4.519724923,-0.85648079
2.902902903,-4.489740555,-0.857457519
3.003003003,-4.447337503,-0.857463717
3.103103103,-4.365519973,-0.857469915
3.203203203,-4.310738213,-0.857476113
3.303303303,-4.292718801,-0.857482312
3.403403403,-4.257193268,-0.85748851
3.503503504,-4.209183186,-0.856638954
3.603603604,-4.120827293,-0.850568266
3.703703704,-4.056859205,-0.846480601
3.803803804,-4.036624472,-0.848915459
3.903903904,-3.99886377,-0.85132755
4.004004004,-3.947784787,-0.851333748
4.104104104,-3.857306345,-0.851339946
4.204204204,-3.777250612,-0.848321119
4.304304304,-3.752456725,-0.843666757
4.404404404,-3.718768579,-0.839012395
4.504504505,-3.664009597,-0.834358033
4.604604605,-3.570571471,-0.829703671
4.704704705,-3.483085132,-0.820366812
4.804804805,-3.452898929,-0.801723526
4.904904905,-3.425783732,-0.858375843
5.005005005,-3.371875026,-0.822691866
5.105105105,-3.298434073,-0.819871629
5.205205205,-3.207449763,-0.817051393
5.305305305,-3.175366988,-0.814231157
5.405405405,-3.155802418,-0.811410921
5.505505506,-3.111269013,-0.808590685
5.605605606,-3.055377135,-0.805770448
5.705705706,-2.967533992,-0.802950212
5.805805806,-2.930740082,-0.800129976
5.905905906,-2.916691253,-0.79730974
6.006006006,-2.868284202,-0.794489504
6.106106106,-2.838999508,-0.791669267
6.206206206,-2.769028613,-0.788849031
6.306306306,-2.740360706,-0.786028795
6.406406406,-2.729856548,-0.783208559
6.506506507,-2.708600223,-0.780388323
6.606606607,-2.678652843,-0.777568086
6.706706707,-2.627569461,-0.77474785
6.806806807,-2.603862942,-0.771927614
6.906906907,-2.590275626,-0.767983557
7.007007007,-2.575455149,-0.763495533
7.107107107,-2.542656223,-0.759007509
7.207207207,-2.520669716,-0.754519485
7.307307307,-2.509761002,-0.752876733
7.407407407,-2.499577954,-0.75365222
7.507507508,-2.487483288,-0.754427708
7.607607608,-2.471386254,-0.755203195
7.707707708,-2.449981748,-0.74288249
7.807807808,-2.445975625,-0.740107971
7.907907908,-2.442590659,-0.737620296
8.008008008,-2.437532606,-0.716311572
8.108108108,-2.429070082,-0.726585556
8.208208208,-2.404930467,-0.722396961
8.308308308,-2.401092539,-0.718208366
8.408408408,-2.396190532,-0.710295058
8.508508509,-2.388149522,-0.689479989
8.608608609,-2.376422961,-0.631277393
8.708708709,-2.348634423,-0.649674792
8.808808809,-2.344149074,-0.671738009
8.908908909,-2.346238885,-0.628717657
9.009009009,-2.335155809,-0.607801679
9.109109109,-2.312548344,-0.585716218
9.209209209,-2.279925148,-0.559589861
9.309309309,-2.271588775,-0.533463503
9.409409409,-2.267409844,-0.516253913
9.50950951,-2.249775593,-0.500556362
9.60960961,-2.213629115,-0.479756751
9.70970971,-2.167199189,-0.480591626
9.80980981,-2.1450709,-0.533493558
9.90990991,-2.13272683,-0.421400248
10.01001001,-2.10852699,-0.403962326
10.11011011,-2.061166925,-0.387838238
10.21021021,-2.010213151,-0.3572613
10.31031031,-1.9782967,-0.346112165
10.41041041,-1.954097173,-0.372708449
10.51051051,-1.918361882,-0.250852137
10.61061061,-1.855125552,-0.229936159
10.71071071,-1.795454936,-0.191791215
10.81081081,-1.749399165,-0.151562128
10.91091091,-1.707066445,-0.141091069
11.01101101,-1.669435174,-0.170709161
11.11111111,-1.583380213,-0.093567572
11.21121121,-1.506350914,-0.062238863
11.31131131,-1.445277106,-0.032303164
11.41141141,-1.384767797,-0.007979786
11.51151151,-1.326116282,0.037910593
11.61161161,-1.22858312,0.128208786
11.71171171,-1.130025669,0.119793035
11.81181181,-1.060097382,0.094074551
11.91191191,-0.952695608,0.116383667
12.01201201,-0.90424392,0.178094792
12.11211211,-0.799328052,0.253340781
12.21221221,-0.682419927,0.298533085
12.31231231,-0.607010086,0.25523132
12.41241241,-0.514104235,0.320797806
12.51251251,-0.41662985,0.289564405
12.61261261,-0.29183543,0.320893114
12.71271271,-0.160846401,0.391498914
12.81281281,-0.070984735,0.417389751
12.91291291,0.041579598,0.501027162
13.01301301,0.170244998,0.494003332
13.11311311,0.326163214,0.512693024
13.21321321,0.472803468,0.546790879
13.31331331,0.569880823,0.586257608
13.41341341,0.697242628,0.61143495
13.51351351,0.837782575,0.67143415
13.61361361,1.017428042,0.655114862
13.71371371,1.177232244,0.714835533
13.81381381,1.273552087,0.749628025
13.91391391,1.41030341,0.769381122
14.01401401,1.579331938,0.765592894
14.11411411,1.787300623,0.777530786
14.21421421,1.96281286,0.82323464
14.31431431,2.057819935,0.823928038
14.41441441,2.197711704,0.937417478
14.51451451,2.428693327,0.882083268
14.61461461,2.637576767,0.902999245
14.71471471,2.812201361,0.968879314
14.81481481,2.916196391,0.910459409
14.91491491,3.052087883,0.927410245
15.01501502,3.268730039,1.018613247
15.11511512,3.511209547,1.066909612
15.21521522,3.701000982,1.08156251
15.31531532,3.81507026,1.096215408
15.41541542,3.923740152,1.098128086
15.51551552,4.135924224,1.082880699
15.61561562,4.385920972,1.100605658
15.71571572,4.578436905,1.247758724
15.81581582,4.706099799,1.235738728
15.91591592,4.801511757,1.223718733
16.01601602,4.990076732,1.211698738
16.11611612,5.247345827,1.209416363
16.21621622,5.452964235,1.226854285
16.31631632,5.542869495,1.214324534
16.41641642,5.626906451,1.278963072
16.51651652,5.801988616,1.264936636
16.61661662,6.01875443,1.273190759
16.71671672,6.223935775,1.296191853
16.81681682,6.281311477,1.319192947
16.91691692,6.394616725,1.347534546
17.01701702,6.464695932,1.354092966
17.11711712,6.630327088,1.331061224
17.21721722,6.821946357,1.389280744
17.31731732,6.86922826,1.398257034
17.41741742,6.91177254,1.407233325
17.51751752,6.99224181,1.416209616
17.61761762,7.112320551,1.411073946
17.71771772,7.265844421,1.3942365
17.81781782,7.30500925,1.377399054
17.91791792,7.330610553,1.432640629
18.01801802,7.384175734,1.43263443
18.11811812,7.471330719,1.44987328
18.21821822,7.561029112,1.470535966
18.31831832,7.587210852,1.486233517
18.41841842,7.610199916,1.450499358
18.51851852,7.650430084,1.475404269
18.61861862,7.695944901,1.490091476
18.71871872,7.748490065,1.493581299
18.81881882,7.762663971,1.497071122
18.91891892,7.772518871,1.500560945
19.01901902,7.809242356,1.504050768
19.11911912,7.842576116,1.507875799
19.21921922,7.878114744,1.51311228
19.31931932,7.890217803,1.518348761
19.41941942,7.90075626,1.524773126
19.51951952,7.92250264,1.529214387
19.61961962,7.936570056,1.530608641
19.71971972,7.959297646,1.532354189
19.81981982,7.967269497,1.534970345
19.91991992,7.965710729,1.537586502
20.02002002,7.972481507,1.531936271
20.12012012,7.974700748,1.525628135
20.22022022,7.978328262,1.519319998
20.32032032,7.98176605,1.516610857
20.42042042,7.973206897,1.513980274
20.52052052,7.966343082,1.512203835
20.62062062,7.955695252,1.51095258
20.72072072,7.940537476,1.509548689
20.82082082,7.929969855,1.503903294
20.92092092,7.929996391,1.4982579
21.02102102,7.89173976,1.492733412
21.12112112,7.86407447,1.487476413
21.22122122,7.83045502,1.482219413
21.32132132,7.806452095,1.476962413
21.42142142,7.782255766,1.471705413
21.52152152,7.752446638,1.466705031
21.62162162,7.714125913,1.461879798
21.72172172,7.668831279,1.457054565
21.82182182,7.64157595,1.452229332
21.92192192,7.605182596,1.447404099
22.02202202,7.563374843,1.449458534
22.12212212,7.514315152,1.444201534
22.22222222,7.459552322,1.438944534
22.32232232,7.429793111,1.433687535
22.42242242,7.413185666,1.428430535
22.52252252,7.391314372,1.421177608
22.62262262,7.331489069,1.412415552
22.72272272,7.284794843,1.403653497
22.82282282,7.258699824,1.394903207
22.92292292,7.223846248,1.386491819
23.02302302,7.199492878,1.378080432
23.12312312,7.150278651,1.368212979
23.22322322,7.102288839,1.351375655
23.32332332,7.072002796,1.339858828
23.42342342,7.040725626,1.326710356
23.52352352,7.019212034,1.315019448
23.62362362,6.96572108,1.304503506
23.72372372,6.912194037,1.293987563
23.82382382,6.889994529,1.283499731
23.92392392,6.864604263,1.274487175
24.02402402,6.830146396,1.26547462
24.12412412,6.770652055,1.256462064
24.22422422,6.725671144,1.247449509
24.32432432,6.696318073,1.233956328
24.42442442,6.672623676,1.226257001
24.52452452,6.637455029,1.231976748
24.62462462,6.594439281,1.198412872
24.72472472,6.544926364,1.183979418
24.82482482,6.513809963,1.175217362
24.92492492,6.484269818,1.166455307
25.02502503,6.437004942,1.156040221
25.12512513,6.397544985,1.140257177
25.22522523,6.361205413,1.124474133
25.32532533,6.330488127,1.105904654
25.42542543,6.311225361,1.086957424
25.52552553,6.263080777,1.068010194
25.62562563,6.212057628,1.087841481
25.72572573,6.166235745,1.055561165
25.82582583,6.125589753,1.032879046
25.92592593,6.105500133,1.020927587
26.02602603,6.052869884,1.014619451
26.12612613,5.985271532,1.008311314
26.22622623,5.947932305,0.998878841
26.32632633,5.900629779,0.985730369
26.42642643,5.874351791,0.973768227
26.52652653,5.825641936,0.972363959
26.62662663,5.744635999,0.970959692
26.72672673,5.699880677,0.935426991
26.82682683,5.649080173,0.927015604
26.92692693,5.614313227,0.918604217
27.02702703,5.560460425,0.896311685
