GaitPhase,pMMGMean_1,pMMGStd_1,pMMGMean_1_1,pMMGStd_1_1,pMMGMean_1_2,pMMGStd_1_2,NewColumn
0,1.550249995,0.65922048,1.079574196,0.554120408,1.311510711,0.804136657,-15.8570998915992
0.1001001,1.542114574,0.650008673,1.105318663,0.56221192,1.287476288,0.803325765,-15.8526732032449
0.2002002,1.546625642,0.64206167,1.111756289,0.564905032,1.271353272,0.815650373,-15.8482465148905
0.3003003,1.578513754,0.630240296,1.137193915,0.563133821,1.278336028,0.80522357,-15.8438198265361
0.4004004,1.610032163,0.607828694,1.143298208,0.566444447,1.277652117,0.805249139,-15.8393931381817
0.500500501,1.634832853,0.591063775,1.149735833,0.584563318,1.256301539,0.800354221,-15.8349664497831
0.600600601,1.652707609,0.599469482,1.165245531,0.59451674,1.255617628,0.800383656,-15.8305397614287
0.700700701,1.676864834,0.593000298,1.18257976,0.605720905,1.249582975,0.787733521,-15.8261130730743
0.800800801,1.695814151,0.590934843,1.180766535,0.604434815,1.241901486,0.797050652,-15.8216863847199
0.900900901,1.706542581,0.563846241,1.180228498,0.603608698,1.224425203,0.794000949,-15.8172596963655
1.001001001,1.696507581,0.583622697,1.199023794,0.620272452,1.215026998,0.767133832,-15.8128330080111
1.101101101,1.702832311,0.570628457,1.19881909,0.621245746,1.210922086,0.771677157,-15.8084063196568
1.201201201,1.699239833,0.572995432,1.197614386,0.640084466,1.19396282,0.767563412,-15.8039796313024
1.301301301,1.699590914,0.581066833,1.217355628,0.644059722,1.173513781,0.748834009,-15.8131739586752
1.401401401,1.717515653,0.584791089,1.213121122,0.667801809,1.156899829,0.729391021,-15.8759146867214
1.501501502,1.718425378,0.600682119,1.218567355,0.677552042,1.152975025,0.730299102,-15.9386554153944
1.601601602,1.735365132,0.598625174,1.230732821,0.69164124,1.125857694,0.732288716,-16.0013961434406
1.701701702,1.75238521,0.633891127,1.24157096,0.718779312,1.126740365,0.711532953,-16.0641368714869
1.801801802,1.756049849,0.643344051,1.255072763,0.74036722,1.10487923,0.70686879,-16.1268775995331
1.901901902,1.748811775,0.652501318,1.268709701,0.763240063,1.10479902,0.711545972,-16.1896183275793
2.002002002,1.776997648,0.655836864,1.281933885,0.788653871,1.084148204,0.700827933,-16.2523590556256
2.102102102,1.774663,0.672338044,1.305461358,0.82197242,1.050038412,0.706984487,-16.3150997836718
2.202202202,1.783962605,0.664599174,1.323621226,0.848551918,1.024674366,0.689426398,-16.3586024099622
2.302302302,1.802400622,0.66466345,1.348146244,0.884741372,1.023976986,0.670709872,-16.3576194646214
2.402402402,1.805776061,0.637564688,1.366337928,0.902380549,1.001593258,0.672230241,-16.3566365192805
2.502502503,1.799216239,0.645114923,1.378529612,0.950099408,0.996974377,0.662418521,-16.3556535739299
2.602602603,1.809675522,0.639249616,1.396721296,0.978627451,0.982022163,0.65296017,-16.3546706285891
2.702702703,1.799552891,0.613033785,1.403172476,0.997989762,0.967177785,0.646664364,-16.3536876832482
2.802802803,1.789885151,0.605641947,1.402796117,1.011043437,0.941187358,0.631731384,-16.3527047379074
2.902902903,1.778353782,0.597001731,1.388843284,1.029416349,0.928097831,0.62395818,-16.3517217925666
3.003003003,1.77575072,0.610364994,1.37369093,1.020602194,0.913362767,0.618159294,-16.3507388472258
3.103103103,1.761600155,0.601723187,1.366205243,1.021664987,0.906039371,0.610064942,-16.3353265107609
3.203203203,1.759759901,0.601273015,1.354067905,1.035902106,0.904049308,0.59397293,-16.2981882442893
3.303303303,1.752583353,0.596840372,1.376567202,1.041629966,0.898702662,0.585330461,-16.2610499778177
3.403403403,1.756561921,0.583388176,1.355583984,1.053350319,0.897969288,0.5857017,-16.223911711346
3.503503504,1.752981649,0.588868102,1.362177569,1.065908379,0.889198528,0.56239684,-16.1867734445034
3.603603604,1.756521167,0.588912502,1.375986526,1.116580901,0.889547713,0.547542696,-16.1496351780317
3.703703704,1.757863598,0.571591473,1.383231321,1.117121542,0.894596437,0.558069011,-16.1124969115601
3.803803804,1.748950773,0.581609797,1.388241881,1.146665668,0.881702217,0.535696011,-16.0753586450884
3.903903904,1.748918715,0.566214775,1.386919108,1.165920615,0.877807998,0.537928461,-16.0382203786168
4.004004004,1.739503992,0.576424968,1.40425016,1.191150334,0.864096366,0.535005038,-16.0070497303897
4.104104104,1.727717927,0.583068447,1.415559462,1.231040713,0.844733975,0.533643416,-15.9819622593541
4.204204204,1.727019375,0.56647946,1.433291584,1.262626842,0.828056737,0.526891552,-15.9568747883184
4.304304304,1.711628206,0.572157366,1.438266351,1.304997852,0.822486229,0.5357974,-15.9317873172828
4.404404404,1.70273303,0.584808839,1.458994634,1.321377082,0.803344817,0.522523854,-15.9066998462471
4.504504505,1.694939911,0.579540402,1.464930124,1.346697887,0.795907775,0.513572973,-15.8816123749608
4.604604605,1.702446424,0.567938198,1.453478227,1.362045137,0.794398759,0.501992636,-15.8565249039252
4.704704705,1.701018079,0.571854222,1.485809794,1.400916474,0.796729001,0.49195426,-15.8314374328895
4.804804805,1.701887001,0.569427993,1.487708675,1.426563302,0.813778469,0.486180707,-15.8063499618539
4.904904905,1.69428184,0.565193335,1.493397889,1.453012401,0.817102635,0.473394987,-15.8067321730144
5.005005005,1.68464063,0.560989428,1.523444325,1.506525836,0.834349724,0.49064146,-15.8246912435826
5.105105105,1.67917825,0.560469191,1.527666637,1.535519552,0.8240843,0.482644028,-15.8426503141508
5.205205205,1.682060548,0.547742596,1.518888949,1.537919815,0.826408466,0.470645492,-15.8606093847191
5.305305305,1.678379805,0.552610504,1.529119973,1.55868346,0.831168708,0.46941079,-15.8785684552873
5.405405405,1.684955206,0.57051758,1.539396186,1.598780889,0.809336733,0.46318499,-15.8965275258555
5.505505506,1.670014787,0.573946021,1.554840567,1.617917891,0.812777275,0.464447476,-15.9144865966032
5.605605606,1.667490699,0.574700715,1.563974282,1.644704655,0.81655115,0.466083756,-15.9324456671714
