GaitPhase,pMMGMean_1,pMMGStd_1,pMMGMean_2,pMMGStd_2,pMMGMean_2_1,pMMGStd_2_1,NewColumn
0,-1.244038572,0.01038012,-1.15805611,0.491830609,-1.293137334,0.35664251,-15.8570998915992
0.1001001,-1.252298867,0.021746019,-1.157704871,0.49316488,-1.29890675,0.347704564,-15.8526732032449
0.2002002,-1.254669018,0.024628321,-1.160407246,0.489708707,-1.306211084,0.333565673,-15.8482465148905
0.3003003,-1.255039171,0.024682196,-1.173516026,0.486379237,-1.319638207,0.319501601,-15.8438198265361
0.4004004,-1.264909322,0.038171101,-1.170291474,0.477786837,-1.315003935,0.32851901,-15.8393931381817
0.500500501,-1.275279474,0.024082841,-1.169441295,0.492888953,-1.32203633,0.304883559,-15.8349664497831
0.600600601,-1.285649626,0.038278851,-1.179175702,0.499118048,-1.322735391,0.305071322,-15.8305397614287
0.700700701,-1.292829206,0.047557507,-1.187284483,0.504910457,-1.329958653,0.294238373,-15.8261130730743
0.800800801,-1.297905979,0.039821956,-1.187018856,0.489509377,-1.331333228,0.287062594,-15.8216863847199
0.900900901,-1.300250687,0.022680496,-1.189565348,0.489387332,-1.325775822,0.283488484,-15.8172596963655
1.001001001,-1.310462762,0.035699722,-1.202978139,0.497666274,-1.326885082,0.250505146,-15.8128330080111
1.101101101,-1.331602766,0.035889101,-1.200986526,0.494027791,-1.339661009,0.242376918,-15.8084063196568
1.201201201,-1.33274277,0.03607848,-1.206908828,0.480722247,-1.329103603,0.24812138,-15.8039796313024
1.301301301,-1.343373182,0.022846395,-1.213207505,0.488993602,-1.32356963,0.237931005,-15.8131739586752
1.401401401,-1.344292971,0.023347205,-1.215848607,0.486367361,-1.32479078,0.236877856,-15.8759146867214
1.501501502,-1.345186319,0.023810623,-1.23729865,0.486170062,-1.320580977,0.226137939,-15.9386554153944
1.601601602,-1.356046581,0.010085115,-1.244995768,0.475210218,-1.323749473,0.241024219,-16.0013961434406
1.701701702,-1.354906843,0.013330169,-1.244998472,0.461396068,-1.331049768,0.243671521,-16.0641368714869
1.801801802,-1.367767106,0.025060505,-1.252980029,0.462628064,-1.332780159,0.246055685,-16.1268775995331
1.901901902,-1.378627368,0.011334997,-1.26607203,0.463885793,-1.343613654,0.252949066,-16.1896183275793
2.002002002,-1.387178152,0.027745642,-1.269809343,0.459634653,-1.343335861,0.27942071,-16.2523590556256
2.102102102,-1.398444957,0.041729466,-1.270630406,0.474074681,-1.347455842,0.279240165,-16.3150997836718
2.202202202,-1.403441614,0.014319053,-1.273096101,0.45877605,-1.355713596,0.28694069,-16.3586024099622
2.302302302,-1.392969931,0.02443007,-1.274278885,0.45775579,-1.358687927,0.3145006,-16.3576194646214
2.402402402,-1.416132882,8.33e-05,-1.27799855,0.45819441,-1.361662258,0.308383605,-16.3566365192805
2.502502503,-1.432991027,0.027631287,-1.278425346,0.454184317,-1.372636589,0.314220036,-16.3556535739299
2.602602603,-1.453798041,0.054975582,-1.298526889,0.439925194,-1.385739801,0.323012613,-16.3546706285891
2.702702703,-1.437592006,0.051225631,-1.288295098,0.441428118,-1.398576498,0.307055533,-16.3536876832482
2.802802803,-1.459385971,0.050304107,-1.29486073,0.429738505,-1.40018162,0.305647649,-16.3527047379074
