GaitPhase,pMMGMean_5,pMMGStd_5,pMMGMean_5_1,pMMGStd_5_1,pMMGMean_3,pMMGStd_3,NewColumn
0,-0.528533559,0.394026399,-0.4770373,0.897723765,-0.94939792,0.053160366,-15.8570998915992
0.1001001,-0.526891872,0.393300177,-0.475292894,0.88915241,-0.951282355,0.050233931,-15.8526732032449
0.2002002,-0.521564044,0.378056908,-0.482684576,0.89304982,-0.971075545,0.050141343,-15.8482465148905
0.3003003,-0.534258237,0.370743736,-0.468773623,0.888931571,-0.968868735,0.052877182,-15.8438198265361
0.4004004,-0.533683161,0.367767641,-0.469223697,0.889253925,-0.978661924,0.038642459,-15.8393931381817
0.500500501,-0.534824468,0.365351599,-0.487618383,0.869265692,-0.998455114,0.0102656,-15.8349664497831
0.600600601,-0.555199676,0.345550341,-0.493707429,0.878188369,-0.988248303,0.024315148,-15.8305397614287
0.700700701,-0.562368002,0.332902055,-0.493098102,0.878169415,-0.988041493,0.02422256,-15.8261130730743
0.800800801,-0.558834116,0.323322359,-0.491799361,0.857589708,-0.99782451,0.010163827,-15.8216863847199
0.900900901,-0.565360956,0.311956321,-0.498199823,0.847432871,-0.997593195,0.010282806,-15.8172596963655
1.001001001,-0.570439682,0.3030633,-0.494648267,0.862016696,-1.00736188,0.003740349,-15.8128330080111
1.101101101,-0.569249473,0.302716764,-0.509864813,0.845439287,-0.999130565,0.007692339,-15.8084063196568
1.201201201,-0.577930468,0.308946372,-0.500697308,0.826567546,-1.002244596,0.018199206,-15.8039796313024
1.301301301,-0.584223668,0.283813682,-0.527955244,0.845599963,-1.026667935,0.024900861,-15.8131739586752
1.401401401,-0.588877117,0.286570966,-0.509404651,0.819971324,-1.006401015,0.003314783,-15.8759146867214
1.501501502,-0.594827461,0.27485507,-0.510867379,0.819812192,-1.005974143,0.003353585,-15.9386554153944
1.601601602,-0.595444472,0.28290107,-0.503814065,0.810428872,-1.011017911,0.011129042,-16.0013961434406
1.701701702,-0.601394815,0.252829664,-0.514198188,0.810531678,-1.025050669,0.031616849,-16.0641368714869
1.801801802,-0.606011826,0.244606601,-0.520582311,0.807037013,-1.011421572,0.012984886,-16.1268775995331
1.901901902,-0.605476895,0.228788192,-0.522966434,0.776338142,-1.014127195,0.017453706,-16.1896183275793
2.002002002,-0.632891146,0.240707843,-0.515687406,0.783753162,-1.003665458,0.031585338,-16.2523590556256
2.102102102,-0.630986462,0.223616593,-0.521614966,0.774002589,-1.003227478,0.031541238,-16.3150997836718
2.202202202,-0.643768499,0.22359496,-0.511546127,0.750065501,-1.00258101,0.031147373,-16.3586024099622
2.302302302,-0.647217202,0.212146877,-0.512054172,0.75088463,-1.003734158,0.061582822,-16.3576194646214
2.402402402,-0.647999239,0.212941705,-0.506680336,0.741347899,-1.000887306,0.029792872,-16.3566365192805
2.502502503,-0.661726423,0.194337917,-0.507933127,0.709113417,-1.022040454,0.06022832,-16.3556535739299
2.602602603,-0.662571048,0.194766186,-0.502312284,0.705598892,-0.921193602,0.172688155,-16.3546706285891
2.702702703,-0.673083298,0.19535576,-0.485418107,0.692135441,-0.94034675,0.172010905,-16.3536876832482
2.802802803,-0.674422963,0.197007418,-0.485659733,0.688559184,-0.939409982,0.171460814,-16.3527047379074
2.902902903,-0.682741607,0.189888111,-0.491739197,0.675102397,-0.938448185,0.171002756,-16.3517217925666
3.003003003,-0.691660851,0.180135112,-0.481735292,0.662977428,-0.937505029,0.193198478,-16.3507388472258
3.103103103,-0.689653756,0.171004517,-0.480909904,0.655971904,-0.936561872,0.192766783,-16.3353265107609
3.203203203,-0.710320366,0.192033599,-0.464084516,0.638972746,-0.945066163,0.207258651,-16.2981882442893
3.303303303,-0.709540996,0.174371257,-0.46335083,0.634598776,-0.94267556,0.237158227,-16.2610499778177
3.403403403,-0.723408922,0.162419673,-0.449196464,0.622938459,-0.932132804,0.223150649,-16.223911711346
3.503503504,-0.715900602,0.179531579,-0.443173897,0.611765351,-0.937349693,0.231674386,-16.1867734445034
3.603603604,-0.735058949,0.161069418,-0.432704549,0.600211245,-0.939575505,0.235971917,-16.1496351780317
3.703703704,-0.741090779,0.136516895,-0.428307789,0.558190079,-0.938212106,0.235193537,-16.1124969115601
3.803803804,-0.748104285,0.146034383,-0.424582985,0.56894336,-0.938848707,0.231586729,-16.0753586450884
3.903903904,-0.770363143,0.144345235,-0.428038384,0.553752896,-0.947485307,0.244950484,-16.0382203786168
4.004004004,-0.775785555,0.151065736,-0.402746082,0.539276892,-0.944121908,0.247000531,-16.0070497303897
4.104104104,-0.790613872,0.127601073,-0.391858779,0.527810217,-0.952768263,0.260350491,-15.9819622593541
4.204204204,-0.799548367,0.129123279,-0.38763284,0.519264364,-0.951437055,0.259526584,-15.9568747883184
4.304304304,-0.812168875,0.135771643,-0.390073568,0.505344681,-0.939945622,0.27261822,-15.9317873172828
4.404404404,-0.81267759,0.125907729,-0.384481393,0.504823303,-0.940035583,0.273804148,-15.9066998462471
4.504504505,-0.826266035,0.135795637,-0.381313933,0.494912063,-0.938125543,0.272161649,-15.8816123749608
4.604604605,-0.829633784,0.1412451,-0.380791801,0.481689892,-0.934215504,0.239406452,-15.8565249039252
4.704704705,-0.833548746,0.136096689,-0.381293359,0.483577085,-0.922305464,0.223621817,-15.8314374328895
4.804804805,-0.836470601,0.144739691,-0.389837625,0.474144136,-0.920253809,0.222179592,-15.8063499618539
4.904904905,-0.852579958,0.13622346,-0.389865376,0.453936256,-0.907925651,0.206986267,-15.8067321730144
5.005005005,-0.842077775,0.145134913,-0.392003237,0.454917403,-0.887725924,0.208492133,-15.8246912435826
5.105105105,-0.842940289,0.131807452,-0.406107159,0.454620758,-0.874077719,0.191205482,-15.8426503141508
5.205205205,-0.835450682,0.138406035,-0.424350768,0.432326503,-0.870988074,0.188850886,-15.8606093847191
5.305305305,-0.847239435,0.127705251,-0.432006931,0.425792462,-0.872112642,0.192456091,-15.8785684552873
5.405405405,-0.833638245,0.121976133,-0.440996428,0.431857556,-0.875169143,0.198793459,-15.8965275258555
5.505505506,-0.834267089,0.111234864,-0.43167428,0.420021415,-0.8535333,0.171194871,-15.9144865966032
5.605605606,-0.838781204,0.10467472,-0.445642087,0.421057793,-0.840692405,0.184669131,-15.9324456671714
5.705705706,-0.83699969,0.105840013,-0.460276228,0.383148925,-0.787844113,0.254701473,-15.9504047377396
5.805805806,-0.836971831,0.095326439,-0.457736289,0.382504656,-0.794796281,0.23959881,-16.10039694298
5.905905906,-0.845474829,0.077944103,-0.455602928,0.383329913,-0.761748449,0.196211876,-16.3098635510297
6.006006006,-0.848225074,0.07575798,-0.463152405,0.392799084,-0.770700617,0.21222191,-16.5193301590793
6.106106106,-0.84209218,0.080788125,-0.46804069,0.398735698,-0.759639551,0.194309537,-16.7287967671289
6.206206206,-0.85156316,0.076728308,-0.491595641,0.387380087,-0.734354262,0.196513251,-16.9382633751785
6.306306306,-0.841505278,0.07505464,-0.495150592,0.376028411,-0.731068974,0.195888537,-17.1477299832281
6.406406406,-0.838886076,0.071687817,-0.491932024,0.393404266,-0.705769808,0.164131497,-17.3571965912777
6.506506507,-0.852152494,0.081362806,-0.487022027,0.392042697,-0.703838686,0.165421865,-17.5666632014198
