GaitPhase,pMMGMean_3,pMMGStd_3,pMMGMean_3_1,pMMGStd_3_1,pMMGMean_3_2,pMMGStd_3_2,NewColumn
0,1.772863458,0.81692785,1.679468333,0.097690548,1.668108892,0.100171898,-15.8570998915992
0.1001001,1.754879171,0.792131496,1.700618953,0.132414738,1.654793356,0.091807142,-15.8526732032449
0.2002002,1.761028389,0.788180752,1.688613878,0.116428498,1.651857363,0.079739784,-15.8482465148905
0.3003003,1.752844273,0.793536235,1.687801996,0.125615743,1.653891673,0.060328434,-15.8438198265361
0.4004004,1.746478976,0.800475696,1.691738529,0.13784235,1.647107498,0.044459819,-15.8393931381817
0.500500501,1.695809375,0.77779282,1.663102823,0.134141587,1.643746746,0.030465811,-15.8349664497831
0.600600601,1.675865499,0.793707208,1.646093076,0.15028073,1.637885493,0.033535903,-15.8305397614287
0.700700701,1.66606895,0.752176916,1.630920501,0.145721584,1.639088305,0.030639441,-15.8261130730743
0.800800801,1.648738755,0.766369887,1.61061731,0.129635127,1.65930413,0.054734938,-15.8216863847199
0.900900901,1.617232123,0.73861693,1.578113947,0.120136951,1.662379531,0.065932973,-15.8172596963655
1.001001001,1.606932364,0.746702823,1.566508148,0.12795861,1.668530265,0.069936537,-15.8128330080111
1.101101101,1.568758398,0.697574854,1.545024471,0.11683386,1.673729047,0.081500927,-15.8084063196568
1.201201201,1.574270784,0.69056004,1.531925179,0.099517817,1.684384286,0.087342499,-15.8039796313024
1.301301301,1.539794176,0.648232318,1.527140868,0.103319192,1.680078564,0.089169015,-15.8131739586752
1.401401401,1.531359961,0.653831412,1.547585616,0.098462534,1.698586655,0.105431977,-15.8759146867214
1.501501502,1.507296686,0.626691395,1.545055822,0.094423644,1.716733385,0.12222621,-15.9386554153944
1.601601602,1.516912023,0.617694967,1.550031247,0.076113485,1.704936172,0.131145982,-16.0013961434406
1.701701702,1.492860693,0.569265159,1.561766043,0.072249058,1.728959468,0.176875332,-16.0641368714869
1.801801802,1.490809363,0.571279054,1.577455126,0.076473154,1.734766412,0.203080378,-16.1268775995331
1.901901902,1.45909154,0.546865208,1.573671069,0.092195289,1.748990469,0.223414118,-16.1896183275793
2.002002002,1.45854481,0.547052162,1.589212337,0.106099197,1.746432411,0.225586693,-16.2523590556256
2.102102102,1.441625859,0.5110931,1.611740086,0.10868479,1.758932077,0.260965204,-16.3150997836718
2.202202202,1.42187235,0.528587293,1.610215367,0.120295544,1.764765076,0.293292473,-16.3586024099622
2.302302302,1.410693813,0.501647716,1.614318505,0.128110934,1.767843987,0.302322496,-16.3576194646214
2.402402402,1.390456217,0.518613725,1.614884923,0.129522955,1.754596239,0.306547005,-16.3566365192805
2.502502503,1.376680749,0.49667389,1.620784674,0.118091966,1.749166531,0.303455136,-16.3556535739299
2.602602603,1.36890184,0.489659667,1.605684425,0.088766394,1.736801839,0.315466319,-16.3546706285891
2.702702703,1.355816078,0.499783602,1.606584176,0.073496537,1.737709003,0.309362448,-16.3536876832482
2.802802803,1.348836423,0.520243969,1.600135368,0.049306082,1.721612851,0.323523385,-16.3527047379074
2.902902903,1.33977645,0.526706515,1.569970334,0.0275472,1.72049868,0.322090403,-16.3517217925666
3.003003003,1.342297736,0.526360708,1.552805301,0.030185145,1.712717843,0.32837449,-16.3507388472258
3.103103103,1.35085706,0.532091254,1.539991837,0.029548036,1.709511581,0.329419193,-16.3353265107609
3.203203203,1.358510656,0.524055329,1.52021241,0.023180399,1.710822835,0.344280475,-16.2981882442893
3.303303303,1.347251629,0.527583773,1.51109965,0.024128565,1.703238731,0.350704592,-16.2610499778177
3.403403403,1.34565927,0.526997128,1.491653556,0.054935191,1.695304286,0.357763183,-16.223911711346
3.503503504,1.335733576,0.533431172,1.476832457,0.081387919,1.674421819,0.355533073,-16.1867734445034
3.603603604,1.340988656,0.529015691,1.461885402,0.108986592,1.659865024,0.351915917,-16.1496351780317
3.703703704,1.346032953,0.541872549,1.448605014,0.108442112,1.654457271,0.342224997,-16.1124969115601
3.803803804,1.342571846,0.545156579,1.425657959,0.129495701,1.646263732,0.338340308,-16.0753586450884
3.903903904,1.341878025,0.536841465,1.417219274,0.139730588,1.622863988,0.352077254,-16.0382203786168
4.004004004,1.331829838,0.5474358,1.382420704,0.139621557,1.608639157,0.349482815,-16.0070497303897
4.104104104,1.325126662,0.541270998,1.375286423,0.131509011,1.600360015,0.337646215,-15.9819622593541
4.204204204,1.303749479,0.554292971,1.357372435,0.139907166,1.592080873,0.355194171,-15.9568747883184
4.304304304,1.297242095,0.539627539,1.330791781,0.154859447,1.590982072,0.369409458,-15.9317873172828
4.404404404,1.294419362,0.539719187,1.318211128,0.152174522,1.59920441,0.39051713,-15.9066998462471
4.504504505,1.280024233,0.535801274,1.288630474,0.166552073,1.607346059,0.428906354,-15.8816123749608
4.604604605,1.255844548,0.555251048,1.258009247,0.169265745,1.636326214,0.466441057,-15.8565249039252
4.704704705,1.246331528,0.56287743,1.232317088,0.187624064,1.626723785,0.502354134,-15.8314374328895
4.804804805,1.225151842,0.58623321,1.204431683,0.202017237,1.624760083,0.500609387,-15.8063499618539
4.904904905,1.221972156,0.58626276,1.187862204,0.202954159,1.64201115,0.533526317,-15.8067321730144
5.005005005,1.199429064,0.59254325,1.166826257,0.219646671,1.633542498,0.532928351,-15.8246912435826
5.105105105,1.1968001,0.592475944,1.161456977,0.21392213,1.631513285,0.540032974,-15.8426503141508
5.205205205,1.191052079,0.599388162,1.151754364,0.218716101,1.618681898,0.549312516,-15.8606093847191
