timestamp,angle_interp,pMMG
0,170.5511956,2.843378698
0.001,170.5508579,2.843375659
0.002,170.5505203,2.843372619
0.003,170.5501826,2.84336958
0.004,170.549845,2.84336654
0.005,170.5495073,2.8433635
0.006,170.5491696,2.843360461
0.007,170.548832,2.843357421
0.008,170.5484943,2.843354382
0.009,170.5481567,2.843351342
0.01,170.547819,2.843348303
0.011,170.5474814,2.843345263
0.012,170.5471437,2.843342223
0.013,170.5468061,2.843339184
0.014,170.5464684,2.843336144
0.015,170.5461308,2.819333105
0.016,170.5457931,2.819330065
0.017,170.5454554,2.819327026
0.018,170.5451178,2.819323986
0.019,170.5447801,2.819320946
0.02,170.5444425,2.823317907
0.021,170.5441048,2.823314867
0.022,170.5437672,2.823311828
0.023,170.5434295,2.823308788
0.024,170.5430919,2.823305749
0.025,170.5427542,2.819302709
0.026,170.5424166,2.819299669
0.027,170.5420789,2.81929663
0.028,170.5417412,2.81929359
0.029,170.5414036,2.819290551
0.03,170.5410659,2.843287511
0.031,170.5407283,2.843284472
0.032,170.5403906,2.843281432
0.033,170.540053,2.843278392
0.034,170.5345461,2.84322882
0.035,170.5290393,2.839179247
0.036,170.5235325,2.839129675
0.037,170.5180256,2.839080102
0.038,170.5125188,2.839030529
0.039,170.507012,2.838980957
0.04,170.5015051,2.861931384
0.041,170.4959983,2.861881811
0.042,170.4904915,2.861832239
0.043,170.4849846,2.861782666
0.044,170.4794778,2.861733094
0.045,170.473971,2.842683521
0.046,170.4684641,2.842633948
0.047,170.4629573,2.842584376
0.048,170.4574505,2.842534803
0.049,170.4519436,2.842485231
0.05,170.4464368,2.838435658
0.051,170.44093,2.838386085
0.052,170.4354231,2.838336513
0.053,170.4299163,2.83828694
0.054,170.4244095,2.838237367
0.055,170.4189026,2.861187795
0.056,170.4133958,2.861138222
0.057,170.407889,2.86108865
0.058,170.4023821,2.861039077
0.059,170.3968753,2.860989504
0.06,170.3913684,2.860939932
0.061,170.3858616,2.860890359
0.062,170.3803548,2.860840786
0.063,170.3748479,2.860791214
0.064,170.3693411,2.860741641
0.065,170.3638343,2.860692069
0.066,170.3583274,2.860642496
0.067,170.3528206,2.860592923
0.068,170.3512594,2.86057887
0.069,170.3496983,2.860564816
0.07,170.3481371,2.860550762
0.071,170.346576,2.860536709
0.072,170.3450148,2.860522655
0.073,170.3434536,2.860508602
0.074,170.3418925,2.860494548
0.075,170.3403313,2.860480494
0.076,170.3387701,2.860466441
0.077,170.337209,2.860452387
0.078,170.3356478,2.860438333
0.079,170.3340866,2.86042428
0.08,170.3325255,2.841410226
0.081,170.3309643,2.841396173
0.082,170.3294031,2.841382119
0.083,170.327842,2.841368065
0.084,170.3262808,2.841354012
0.085,170.3247197,2.841339958
0.086,170.3231585,2.841325904
0.087,170.3215973,2.841311851
0.088,170.3200362,2.841297797
0.089,170.318475,2.841283744
0.09,170.3169138,2.84126969
0.091,170.3153527,2.841255636
0.092,170.3137915,2.841241583
0.093,170.3122303,2.841227529
0.094,170.3106692,2.841213475
0.095,170.309108,2.841199422
0.096,170.3075468,2.841185368
0.097,170.3059857,2.841171315
0.098,170.3044245,2.841157261
0.099,170.3028634,2.841143207
0.1,170.3013022,2.841129154
0.101,170.3020883,2.84113623
0.102,170.3028744,2.841143307
0.103,170.3036605,2.841150383
0.104,170.3044466,2.84115746
0.105,170.3052327,2.821164537
0.106,170.3060189,2.821171613
0.107,170.306805,2.82117869
0.108,170.3075911,2.821185766
0.109,170.3083772,2.821192843
0.11,170.3091633,2.841199919
0.111,170.3099494,2.841206996
0.112,170.3107355,2.841214073
0.113,170.3115216,2.841221149
0.114,170.3123077,2.841228226
0.115,170.3130939,2.821235302
0.116,170.31388,2.821242379
0.117,170.3146661,2.821249456
0.118,170.3154522,2.821256532
0.119,170.3162383,2.821263609
0.12,170.3170244,2.841270685
0.121,170.3178105,2.841277762
0.122,170.3185966,2.841284838
0.123,170.3193827,2.841291915
0.124,170.3201689,2.841298992
0.125,170.320955,2.817306068
0.126,170.3217411,2.817313145
0.127,170.3225272,2.817320221
0.128,170.3233133,2.817327298
0.129,170.3240994,2.817334375
0.13,170.3248855,2.821341451
0.131,170.3256716,2.821348528
0.132,170.3264577,2.821355604
0.133,170.3272438,2.821362681
0.134,170.3345479,2.821428432
0.135,170.3418519,2.821494183
0.136,170.3491559,2.821559934
0.137,170.3564599,2.821625685
0.138,170.3637639,2.821691435
0.139,170.371068,2.821757186
0.14,170.378372,2.821822937
0.141,170.385676,2.821888688
0.142,170.39298,2.821954439
0.143,170.400284,2.82202019
0.144,170.4075881,2.822085941
0.145,170.4148921,2.818151692
0.146,170.4221961,2.818217443
0.147,170.4295001,2.818283194
0.148,170.4368041,2.818348945
0.149,170.4441082,2.818414695
0.15,170.4514122,2.818480446
0.151,170.4587162,2.818546197
0.152,170.4660202,2.818611948
0.153,170.4733242,2.818677699
0.154,170.4806282,2.81874345
0.155,170.4879323,2.818809201
0.156,170.4952363,2.818874952
0.157,170.5025403,2.818940703
0.158,170.5098443,2.819006454
0.159,170.5171483,2.819072205
0.16,170.5244524,2.804137955
0.161,170.5317564,2.804203706
0.162,170.5390604,2.804269457
0.163,170.5463644,2.804335208
0.164,170.5536684,2.804400959
0.165,170.5609725,2.80446671
0.166,170.5682765,2.804532461
0.167,170.5755805,2.804598212
0.168,170.580429,2.804641858
0.169,170.5852775,2.804685505
0.17,170.590126,2.784729151
0.171,170.5949746,2.784772797
0.172,170.5998231,2.784816444
0.173,170.6046716,2.78486009
0.174,170.6095201,2.784903737
0.175,170.6143686,2.784947383
0.176,170.6192171,2.78499103
0.177,170.6240656,2.785034676
0.178,170.6289142,2.785078322
0.179,170.6337627,2.785121969
0.18,170.6386112,2.785165615
0.181,170.6434597,2.785209262
0.182,170.6483082,2.746252908
0.183,170.6531567,2.746296554
0.184,170.6580053,2.746340201
0.185,170.6628538,2.766383847
0.186,170.6677023,2.766427494
0.187,170.6725508,2.76647114
0.188,170.6773993,2.766514787
0.189,170.6822478,2.766558433
0.19,170.6870963,2.766602079
0.191,170.6919449,2.766645726
0.192,170.6967934,2.766689372
0.193,170.7016419,2.766733019
0.194,170.7064904,2.766776665
0.195,170.7113389,2.746820312
0.196,170.7161874,2.746863958
0.197,170.7210359,2.746907604
0.198,170.7258845,2.746951251
0.199,170.730733,2.746994897
0.2,170.7355815,2.767038544
0.201,170.7335391,2.767020158
0.202,170.7314967,2.767001772
0.203,170.7294543,2.766983386
0.204,170.7274119,2.766965
0.205,170.7253695,2.746946615
0.206,170.7233271,2.746928229
0.207,170.7212846,2.746909843
0.208,170.7192422,2.746891457
0.209,170.7171998,2.746873072
0.21,170.7151574,2.746854686
0.211,170.713115,2.7468363
0.212,170.7110726,2.746817914
0.213,170.7090302,2.746799528
0.214,170.7069878,2.746781143
0.215,170.7049454,2.746762757
0.216,170.702903,2.746744371
0.217,170.7008606,2.746725985
0.218,170.6988182,2.7467076
0.219,170.6967758,2.746689214
0.22,170.6947334,2.742670828
0.221,170.692691,2.742652442
0.222,170.6906485,2.742634056
0.223,170.6886061,2.742615671
0.224,170.6865637,2.742597285
0.225,170.6845213,2.726578899
0.226,170.6824789,2.726560513
0.227,170.6804365,2.726542127
0.228,170.6783941,2.726523742
0.229,170.6763517,2.726505356
0.23,170.6743093,2.72648697
0.231,170.6722669,2.726468584
0.232,170.6702245,2.726450199
0.233,170.6681821,2.726431813
0.234,170.6637938,2.726392309
0.235,170.6594055,2.722352806
0.236,170.6550172,2.722313303
0.237,170.6506289,2.722273799
0.238,170.6462407,2.722234296
0.239,170.6418524,2.722194792
0.24,170.6374641,2.726155289
0.241,170.6330758,2.726115786
0.242,170.6286875,2.726076282
0.243,170.6242992,2.726036779
0.244,170.619911,2.725997275
0.245,170.6155227,2.706957772
0.246,170.6111344,2.706918269
0.247,170.6067461,2.706878765
0.248,170.6023578,2.706839262
0.249,170.5979695,2.706799758
0.25,170.5935813,2.706760255
0.251,170.589193,2.706720752
0.252,170.5848047,2.706681248
0.253,170.5804164,2.706641745
0.254,170.5760281,2.706602241
0.255,170.5716398,2.686562738
0.256,170.5672516,2.686523235
0.257,170.5628633,2.686483731
0.258,170.558475,2.686444228
0.259,170.5540867,2.686404724
0.26,170.5496984,2.686365221
0.261,170.5453101,2.686325718
0.262,170.5409219,2.686286214
0.263,170.5365336,2.686246711
0.264,170.5321453,2.686207207
0.265,170.527757,2.667167704
0.266,170.5233687,2.667128201
0.267,170.5189804,2.647088697
0.268,170.5115023,2.647021378
0.269,170.5040241,2.66695406
0.27,170.4965459,2.666886741
0.271,170.4890677,2.666819422
0.272,170.4815895,2.646752103
0.273,170.4741113,2.646684784
0.274,170.4666331,2.646617465
0.275,170.4591549,2.646550147
0.276,170.4516767,2.646482828
0.277,170.4441985,2.646415509
0.278,170.4367203,2.64634819
0.279,170.4292422,2.646280871
0.28,170.421764,2.646213553
0.281,170.4142858,2.646146234
0.282,170.4068076,2.646078915
0.283,170.3993294,2.646011596
0.284,170.3918512,2.645944277
0.285,170.384373,2.645876959
0.286,170.3768948,2.64580964
0.287,170.3694166,2.645742321
0.288,170.3619384,2.645675002
0.289,170.3544602,2.645607683
0.29,170.346982,2.645540365
0.291,170.3395039,2.645473046
0.292,170.3320257,2.645405727
0.293,170.3245475,2.645338408
0.294,170.3170693,2.645271089
0.295,170.3095911,2.64520377
0.296,170.3021129,2.645136452
0.297,170.2946347,2.645069133
0.298,170.2871565,2.641001814
0.299,170.2796783,2.640934495
0.3,170.2722001,2.640867176
0.301,170.267624,2.640825982
0.302,170.2630479,2.625784787
0.303,170.2584717,2.625743593
0.304,170.2538956,2.625702398
0.305,170.2493194,2.625661204
0.306,170.2447433,2.62562001
0.307,170.2401672,2.625578815
0.308,170.235591,2.625537621
0.309,170.2310149,2.625496426
0.31,170.2264387,2.625455232
0.311,170.2218626,2.625414037
0.312,170.2172865,2.625372843
0.313,170.2127103,2.625331648
0.314,170.2081342,2.625290454
0.315,170.2035581,2.605249259
0.316,170.1989819,2.605208065
0.317,170.1944058,2.60516687
0.318,170.1898296,2.605125676
0.319,170.1852535,2.605084481
0.32,170.1806774,2.585043287
0.321,170.1761012,2.585002092
0.322,170.1715251,2.584960898
0.323,170.1669489,2.584919703
0.324,170.1623728,2.584878509
0.325,170.1577967,2.584837314
0.326,170.1532205,2.58479612
0.327,170.1486444,2.584754925
0.328,170.1440682,2.584713731
0.329,170.1394921,2.584672536
0.33,170.134916,2.584631342
0.331,170.1303398,2.584590147
0.332,170.1257637,2.545548953
0.333,170.1211875,2.545507758
0.334,170.1178776,2.545477963
0.335,170.1145677,2.545448167
0.336,170.1112578,2.545418371
0.337,170.1079479,2.545388575
0.338,170.104638,2.545358779
0.339,170.1013281,2.545328983
0.34,170.0980182,2.545299188
0.341,170.0947083,2.545269392
0.342,170.0913984,2.545239596
