timestamp,angle_interp,pMMG
0,164.6856867,2.679665942
0.001,164.6890482,2.679615843
0.002,164.6924097,2.679565744
0.003,164.6957712,2.639515644
0.004,164.6991327,2.639465545
0.005,164.7024942,2.639415446
0.006,164.7058556,2.679365346
0.007,164.7092171,2.679315247
0.008,164.7125786,2.679265148
0.009,164.7159401,2.679215049
0.01,164.7193016,2.679164949
0.011,164.7226631,2.67911485
0.012,164.7260246,2.679064751
0.013,164.729386,2.659014651
0.014,164.7327475,2.658964552
0.015,164.736109,2.658914453
0.016,164.7394705,2.658864353
0.017,164.742832,2.658814254
0.018,164.7461935,2.658764155
0.019,164.749555,2.658714056
0.02,164.7529164,2.678663956
0.021,164.7562779,2.678613857
0.022,164.7596394,2.678563758
0.023,164.7630009,2.678513658
0.024,164.7663624,2.678463559
0.025,164.7697239,2.67841346
0.026,164.7730854,2.67836336
0.027,164.7764468,2.678313261
0.028,164.7784011,2.678284135
0.029,164.7803553,2.678255009
0.03,164.7823096,2.678225884
0.031,164.7842638,2.678196758
0.032,164.786218,2.678167632
0.033,164.7881723,2.678138506
0.034,164.7901265,2.67810938
0.035,164.7920808,2.678080254
0.036,164.794035,2.678051129
0.037,164.7959893,2.678022003
0.038,164.7979435,2.677992877
0.039,164.7998977,2.677963751
0.04,164.801852,2.677934625
0.041,164.8038062,2.677905499
0.042,164.8057605,2.677876374
0.043,164.8077147,2.657847248
0.044,164.8096689,2.657818122
0.045,164.8116232,2.657788996
0.046,164.8135774,2.65775987
0.047,164.8155317,2.657730744
0.048,164.8174859,2.657701618
0.049,164.8194401,2.657672493
0.05,164.8213944,2.657643367
0.051,164.8233486,2.657614241
0.052,164.8253029,2.657585115
0.053,164.8272571,2.657555989
0.054,164.8292113,2.657526863
0.055,164.8311656,2.657497738
0.056,164.8331198,2.657468612
0.057,164.8350741,2.657439486
0.058,164.8370283,2.66241036
0.059,164.8389825,2.662381234
0.06,164.8409368,2.662352108
0.061,164.8420164,2.662336017
0.062,164.8430961,2.677319927
0.063,164.8441757,2.677303836
0.064,164.8452554,2.677287745
0.065,164.846335,2.677271654
0.066,164.8474147,2.677255563
0.067,164.8484943,2.682239472
0.068,164.8495739,2.682223381
0.069,164.8506536,2.68220729
0.07,164.8517332,2.682191199
0.071,164.8528129,2.682175108
0.072,164.8538925,2.682159017
0.073,164.8549722,2.677142926
0.074,164.8560518,2.677126835
0.075,164.8571314,2.677110745
0.076,164.8582111,2.677094654
0.077,164.8592907,2.677078563
0.078,164.8603704,2.697062472
0.079,164.86145,2.697046381
0.08,164.8625297,2.69703029
0.081,164.8636093,2.697014199
0.082,164.864689,2.696998108
0.083,164.8657686,2.696982017
0.084,164.8668482,2.696965926
0.085,164.8679279,2.696949835
0.086,164.8690075,2.696933744
0.087,164.8700872,2.696917653
0.088,164.8711668,2.696901562
0.089,164.8722465,2.696885472
0.09,164.8733261,2.696869381
0.091,164.8744058,2.69685329
0.092,164.8754854,2.696837199
0.093,164.876565,2.696821108
0.094,164.8776447,2.696805017
0.095,164.8829604,2.696725792
0.096,164.8882762,2.696646566
0.097,164.8935919,2.696567341
0.098,164.8989076,2.696488116
0.099,164.9042234,2.696408891
0.1,164.9095391,2.696329665
0.101,164.9148548,2.69625044
0.102,164.9201706,2.696171215
0.103,164.9254863,2.69609199
0.104,164.930802,2.696012764
0.105,164.9361178,2.695933539
0.106,164.9414335,2.695854314
0.107,164.9467492,2.695775088
0.108,164.952065,2.695695863
0.109,164.9573807,2.695616638
0.11,164.9626964,2.695537413
0.111,164.9680122,2.695458187
0.112,164.9733279,2.695378962
0.113,164.9786436,2.695299737
0.114,164.9839594,2.695220512
0.115,164.9892751,2.695141286
0.116,164.9945908,2.695062061
0.117,164.9999066,2.694982836
0.118,165.0052223,2.714903611
0.119,165.010538,2.714824385
0.12,165.0158538,2.71474516
0.121,165.0211695,2.714665935
0.122,165.0264853,2.71458671
0.123,165.031801,2.694507484
0.124,165.0371167,2.694428259
0.125,165.0424325,2.694349034
0.126,165.0477482,2.694269808
0.127,165.0530639,2.694190583
0.128,165.0564407,2.694140256
0.129,165.0598175,2.694089929
0.13,165.0631942,2.694039602
0.131,165.066571,2.693989275
0.132,165.0699478,2.693938948
0.133,165.0733245,2.693888621
0.134,165.0767013,2.693838294
0.135,165.0800781,2.693787967
0.136,165.0834548,2.693737639
0.137,165.0868316,2.693687312
0.138,165.0902084,2.693636985
0.139,165.0935852,2.693586658
0.14,165.0969619,2.693536331
0.141,165.1003387,2.693486004
0.142,165.1037155,2.693435677
0.143,165.1070922,2.69338535
0.144,165.110469,2.693335023
0.145,165.1138458,2.693284696
0.146,165.1172225,2.693234369
0.147,165.1205993,2.693184042
0.148,165.1239761,2.693133714
0.149,165.1273528,2.693083387
0.15,165.1307296,2.69303306
0.151,165.1341064,2.692982733
0.152,165.1374832,2.692932406
0.153,165.1408599,2.712882079
0.154,165.1442367,2.712831752
0.155,165.1476135,2.712781425
0.156,165.1509902,2.672731098
0.157,165.154367,2.672680771
0.158,165.1577438,2.672630444
0.159,165.1611205,2.672580117
0.16,165.1644973,2.672529789
0.161,165.1678143,2.672480354
0.162,165.1711313,2.672430918
0.163,165.1744482,2.672381482
0.164,165.1777652,2.672332046
0.165,165.1810822,2.67228261
0.166,165.1843992,2.672233174
0.167,165.1877161,2.672183738
0.168,165.1910331,2.692134302
0.169,165.1943501,2.692084866
0.17,165.1976671,2.69203543
0.171,165.200984,2.691985994
0.172,165.204301,2.691936558
0.173,165.207618,2.671887122
0.174,165.210935,2.671837686
0.175,165.2142519,2.671788251
0.176,165.2175689,2.671738815
0.177,165.2208859,2.671689379
0.178,165.2242029,2.691639943
0.179,165.2275198,2.691590507
0.18,165.2308368,2.691541071
0.181,165.2341538,2.691491635
0.182,165.2374708,2.691442199
0.183,165.2407877,2.711392763
0.184,165.2441047,2.711343327
0.185,165.2474217,2.711293891
0.186,165.2507387,2.711244455
0.187,165.2540556,2.711195019
0.188,165.2573726,2.711145584
0.189,165.2606896,2.711096148
0.19,165.2640066,2.711046712
0.191,165.2673235,2.710997276
0.192,165.2706405,2.71094784
0.193,165.2739575,2.710898404
0.194,165.2772745,2.710848968
0.195,165.2782177,2.710834911
0.196,165.2791608,2.710820854
0.197,165.280104,2.710806796
0.198,165.2810472,2.690792739
0.199,165.2819904,2.690778682
0.2,165.2829336,2.690764625
0.201,165.2838768,2.690750568
0.202,165.28482,2.69073651
0.203,165.2857632,2.730722453
0.204,165.2867063,2.730708396
0.205,165.2876495,2.730694339
0.206,165.2885927,2.730680282
0.207,165.2895359,2.730666225
0.208,165.2904791,2.710652167
0.209,165.2914223,2.71063811
0.21,165.2923655,2.710624053
0.211,165.2933087,2.710609996
0.212,165.2942518,2.690595939
0.213,165.295195,2.690581881
0.214,165.2961382,2.690567824
0.215,165.2970814,2.690553767
0.216,165.2980246,2.69053971
0.217,165.2989678,2.690525653
0.218,165.299911,2.710511596
0.219,165.3008542,2.710497538
0.22,165.3017973,2.710483481
0.221,165.3027405,2.710469424
0.222,165.3036837,2.710455367
0.223,165.3046269,2.71044131
0.224,165.3055701,2.710427252
0.225,165.3065133,2.710413195
0.226,165.3074565,2.710399138
0.227,165.3083997,2.710385081
0.228,165.3106612,2.710351376
0.229,165.3129227,2.71031767
0.23,165.3151842,2.710283965
0.231,165.3174457,2.71025026
0.232,165.3197072,2.710216555
0.233,165.3219687,2.706182849
0.234,165.3242302,2.706149144
0.235,165.3264917,2.706115439
0.236,165.3287532,2.706081734
0.237,165.3310147,2.706048028
0.238,165.3332762,2.714014323
0.239,165.3355377,2.713980618
0.24,165.3377992,2.713946913
0.241,165.3400607,2.713913207
0.242,165.3423222,2.709879502
0.243,165.3445837,2.709845797
0.244,165.3468452,2.709812092
0.245,165.3491067,2.709778386
0.246,165.3513682,2.689744681
0.247,165.3536297,2.689710976
0.248,165.3558912,2.689677271
0.249,165.3581527,2.689643565
0.25,165.3604142,2.68960986
0.251,165.3626757,2.689576155
0.252,165.3649372,2.68954245
0.253,165.3671987,2.689508744
0.254,165.3694602,2.689475039
0.255,165.3717217,2.689441334
0.256,165.3739832,2.689407629
0.257,165.3762447,2.689373923
0.258,165.3785062,2.689340218
0.259,165.3807677,2.689306513
0.26,165.3830292,2.689272808
0.261,165.3852344,2.689239942
0.262,165.3874396,2.689207076
0.263,165.3896448,2.689174211
0.264,165.3918499,2.689141345
0.265,165.3940551,2.669108479
0.266,165.3962603,2.669075613
0.267,165.3984655,2.669042748
0.268,165.4006706,2.669009882
0.269,165.4028758,2.668977016
0.27,165.405081,2.668944151
0.271,165.4072861,2.668911285
0.272,165.4094913,2.668878419
0.273,165.4116965,2.668845553
0.274,165.4139017,2.668812688
0.275,165.4161068,2.668779822
0.276,165.418312,2.668746956
0.277,165.4205172,2.668714091
0.278,165.4227224,2.688681225
0.279,165.4249275,2.688648359
0.28,165.4271327,2.688615493
0.281,165.4293379,2.688582628
0.282,165.431543,2.688549762
0.283,165.4337482,2.668516896
0.284,165.4359534,2.668484031
0.285,165.4381586,2.668451165
0.286,165.4403637,2.668418299
0.287,165.4425689,2.668385433
0.288,165.4447741,2.668352568
0.289,165.4469793,2.668319702
0.29,165.4491844,2.668286836
0.291,165.4513896,2.668253971
0.292,165.4535948,2.668221105
0.293,165.4557999,2.648188239
0.294,165.4580051,2.648155374
0.295,165.4630512,2.648080166
0.296,165.4680974,2.648004959
0.297,165.4731435,2.647929752
0.298,165.4781896,2.667854545
0.299,165.4832358,2.667779338
0.3,165.4882819,2.667704131
0.301,165.493328,2.667628924
0.302,165.4983742,2.667553716
0.303,165.5034203,2.647478509
0.304,165.5084664,2.647403302
0.305,165.5135126,2.647328095
0.306,165.5185587,2.647252888
0.307,165.5236048,2.647177681
0.308,165.528651,2.647102474
0.309,165.5336971,2.647027266
0.31,165.5387432,2.646952059
0.311,165.5437894,2.646876852
0.312,165.5488355,2.626801645
0.313,165.5538816,2.626726438
0.314,165.5589278,2.626651231
0.315,165.5639739,2.626576024
0.316,165.56902,2.626500817
0.317,165.5740662,2.626425609
0.318,165.5791123,2.626350402
0.319,165.5841584,2.626275195
0.32,165.5892046,2.626199988
0.321,165.5942507,2.626124781
0.322,165.5992968,2.626049574
0.323,165.604343,2.625974367
0.324,165.6093891,2.625899159
0.325,165.6144352,2.625823952
0.326,165.6194813,2.625748745
0.327,165.6245275,2.625673538
0.328,165.6293,2.625602409
0.329,165.6340725,2.62553128
0.33,165.638845,2.625460151
0.331,165.6436175,2.625389022
0.332,165.64839,2.625317894
0.333,165.6531625,2.625246765
0.334,165.657935,2.625175636
0.335,165.6627075,2.625104507
0.336,165.66748,2.625033378
0.337,165.6722525,2.624962249
0.338,165.6770249,2.62489112
0.339,165.6817974,2.624819991
0.34,165.6865699,2.624748862
0.341,165.6913424,2.624677734
0.342,165.6961149,2.624606605
0.343,165.7008874,2.624535476
0.344,165.7056599,2.624464347
0.345,165.7104324,2.624393218
0.346,165.7152049,2.624322089
0.347,165.7199774,2.62425096
0.348,165.7247499,2.624179831
0.349,165.7295224,2.624108702
0.35,165.7342949,2.624037573
0.351,165.7390674,2.623966445
0.352,165.7438399,2.623895316
0.353,165.7486124,2.623824187
0.354,165.7533849,2.623753058
0.355,165.7581574,2.623681929
0.356,165.7629299,2.6236108
0.357,165.7677024,2.623539671
0.358,165.7724749,2.608468542
0.359,165.7772474,2.608397413
0.36,165.7820199,2.608326284
0.361,165.7869596,2.608252663
0.362,165.7918993,2.608179042
0.363,165.7968391,2.584105421
0.364,165.8017788,2.584031799
0.365,165.8067185,2.583958178
0.366,165.8116583,2.583884557
0.367,165.816598,2.583810935
0.368,165.8215377,2.603737314
0.369,165.8264774,2.603663693
0.37,165.8314172,2.603590071
0.371,165.8363569,2.60351645
0.372,165.8412966,2.603442829
0.373,165.8462364,2.583369208
0.374,165.8511761,2.583295586
0.375,165.8561158,2.583221965
0.376,165.8610555,2.583148344
0.377,165.8659953,2.583074722
0.378,165.870935,2.583001101
0.379,165.8758747,2.58292748
0.38,165.8808145,2.582853858
0.381,165.8857542,2.582780237
0.382,165.8906939,2.582706616
0.383,165.8956336,2.582632994
0.384,165.9005734,2.582559373
0.385,165.9055131,2.582485752
0.386,165.9104528,2.582412131
0.387,165.9153926,2.582338509
0.388,165.9203323,2.562264888
0.389,165.925272,2.562191267
0.39,165.9302117,2.562117645
0.391,165.9351515,2.562044024
0.392,165.9400912,2.561970403
0.393,165.9450309,2.561896781
0.394,165.9499707,2.56182316
0.395,165.9527818,2.561781264
0.396,165.9555929,2.561739367
0.397,165.958404,2.561697471
0.398,165.9612151,2.561655574
0.399,165.9640262,2.561613678
0.4,165.9668373,2.561571781
0.401,165.9696484,2.561529885
0.402,165.9724595,2.561487988
0.403,165.9752706,2.561446092
0.404,165.9780817,2.561404195
0.405,165.9808928,2.561362299
0.406,165.9837039,2.561320402
0.407,165.986515,2.561278506
0.408,165.9893261,2.561236609
0.409,165.9921372,2.561194713
0.41,165.9949484,2.561152816
0.411,165.9977595,2.56111092
0.412,166.0005706,2.541069023
0.413,166.0033817,2.541027127
0.414,166.0061928,2.54098523
0.415,166.0090039,2.540943334
0.416,166.011815,2.540901437
0.417,166.0146261,2.540859541
0.418,166.0174372,2.520817644
0.419,166.0202483,2.520775748
0.42,166.0230594,2.520733851
0.421,166.0258705,2.520691955
0.422,166.0286816,2.520650058
0.423,166.0314927,2.520608162
0.424,166.0343038,2.520566265
0.425,166.0371149,2.520524369
0.426,166.0399261,2.520482472
0.427,166.0427372,2.520440576
0.428,166.0467851,2.500380246
0.429,166.050833,2.500319917
0.43,166.0548809,2.500259587
0.431,166.0589288,2.500199257
0.432,166.0629767,2.500138928
0.433,166.0670246,2.484078598
0.434,166.0710725,2.484018268
0.435,166.0751204,2.483957939
0.436,166.0791683,2.483897609
0.437,166.0832162,2.483837279
0.438,166.0872641,2.47977695
0.439,166.091312,2.47971662
0.44,166.0953599,2.47965629
0.441,166.0994078,2.479595961
0.442,166.1034557,2.479535631
0.443,166.1075037,2.479475302
0.444,166.1115516,2.479414972
0.445,166.1155995,2.479354642
0.446,166.1196474,2.479294313
0.447,166.1236953,2.479233983
0.448,166.1277432,2.479173653
0.449,166.1317911,2.479113324
0.45,166.135839,2.479052994
0.451,166.1398869,2.478992664
0.452,166.1439348,2.478932335
0.453,166.1479827,2.438872005
0.454,166.1520306,2.438811675
0.455,166.1560785,2.438751346
0.456,166.1601264,2.438691016
0.457,166.1641743,2.438630686
0.458,166.1682222,2.438570357
0.459,166.1722701,2.438510027
0.46,166.1763181,2.438449697
0.461,166.1776295,2.438430152
0.462,166.1789409,2.438410606
0.463,166.1802524,2.458391061
0.464,166.1815638,2.458371516
0.465,166.1828752,2.45835197
0.466,166.1841866,2.458332425
0.467,166.1854981,2.458312879
0.468,166.1868095,2.438293334
0.469,166.1881209,2.438273788
0.47,166.1894324,2.438254243
0.471,166.1907438,2.438234697
0.472,166.1920552,2.438215152
0.473,166.1933667,2.438195606
0.474,166.1946781,2.438176061
0.475,166.1959895,2.438156515
0.476,166.197301,2.43813697
0.477,166.1986124,2.438117424
0.478,166.1999238,2.418097879
0.479,166.2012353,2.418078333
0.48,166.2025467,2.418058788
0.481,166.2038581,2.418039242
0.482,166.2051696,2.418019697
0.483,166.206481,2.418000152
0.484,166.2077924,2.417980606
0.485,166.2091039,2.417961061
0.486,166.2104153,2.417941515
0.487,166.2117267,2.41792197
0.488,166.2130382,2.417902424
0.489,166.2143496,2.417882879
0.49,166.215661,2.417863333
0.491,166.2169724,2.417843788
0.492,166.2182839,2.417824242
0.493,166.2195953,2.417804697
0.494,166.2209067,2.417785151
0.495,166.2229048,2.417755372
0.496,166.2249029,2.417725592
0.497,166.226901,2.417695813
0.498,166.2288991,2.397666034
0.499,166.2308972,2.397636254
0.5,166.2328953,2.397606475
0.501,166.2348934,2.397576695
0.502,166.2368915,2.401514216
0.503,166.2388896,2.401517136
0.504,166.2408877,2.401487357
0.505,166.2428858,2.401457577
0.506,166.2448839,2.401427798
0.507,166.246882,2.401398018
0.508,166.2488801,2.397368239
0.509,166.2508782,2.397338459
0.51,166.2528763,2.39730868
0.511,166.2548744,2.397278901
0.512,166.2568725,2.397249121
0.513,166.2588706,2.397219342
0.514,166.2608687,2.397189562
0.515,166.2628668,2.397159783
0.516,166.2648649,2.397130003
0.517,166.266863,2.377080724
0.518,166.2688611,2.377070444
0.519,166.2708591,2.377040665
0.52,166.2728572,2.377010885
0.521,166.2748553,2.376981106
0.522,166.2768534,2.376951326
0.523,166.2788515,2.376921547
0.524,166.2808496,2.376891768
0.525,166.2828477,2.376861988
0.526,166.2848458,2.376832209
0.527,166.2868439,2.376802429
0.528,166.2921694,2.356723059
0.529,166.2974948,2.356643689
0.53,166.3028203,2.356564319
0.531,166.3081457,2.356484949
0.532,166.3134712,2.356405578
0.533,166.3187966,2.356326208
0.534,166.3241221,2.356246838
0.535,166.3294476,2.356167468
0.536,166.334773,2.356088098
0.537,166.3400985,2.356008728
0.538,166.3454239,2.355929358
0.539,166.3507494,2.355849987
0.54,166.3560748,2.355770617
0.541,166.3614003,2.355691247
0.542,166.3667257,2.335611877
0.543,166.3720512,2.335532507
0.544,166.3773767,2.335453137
0.545,166.3827021,2.335373767
0.546,166.3880276,2.335294396
0.547,166.393353,2.335215026
