GaitPhase,pMMGMean_1,pMMGMean_2,pMMGMean_3,pMMGMean_4,pMMGMean_5,NewColumn,,
0,-1.360289953,-1.244038572,1.653954358,1.389543653,-0.754112726,-15.85709989,,
0.1001001,-1.349693381,-1.252298867,1.653525427,1.389475918,-0.751887165,-15.8526732,,
0.2002002,-1.34199307,-1.254669018,1.651273842,1.389379597,-0.736214825,-15.84824651,,
0.3003003,-1.342839305,-1.255039171,1.650459694,1.377783275,-0.745575517,-15.84381983,,
0.4004004,-1.332297652,-1.264909322,1.6518998,1.367686953,-0.743032305,-15.83939314,,
0.500500501,-1.340976219,-1.275279474,1.659956523,1.348590632,-0.742747351,-15.83496645,,
0.600600601,-1.333041673,-1.285649626,1.65249773,1.34849431,-0.752462398,-15.83053976,,
0.700700701,-1.345271282,-1.292829206,1.65038501,1.341343691,-0.752235729,-15.82611307,,
0.800800801,-1.32939199,-1.297905979,1.650056149,1.321778038,-0.742062793,-15.82168638,,
0.900900901,-1.332120306,-1.300250687,1.655204767,1.310438341,-0.741889857,-15.8172597,,
1.001001001,-1.353598872,-1.310462762,1.670902395,1.302502047,-0.741716921,-15.81283301,,
1.101101101,-1.342578975,-1.331602766,1.644683183,1.312205393,-0.740140582,-15.80840632,,
1.201201201,-1.346621076,-1.33274277,1.647449418,1.299908739,-0.751371049,-15.80397963,,
1.301301301,-1.35423657,-1.343373182,1.650088745,1.29011458,-0.741028204,-15.81317396,,
1.401401401,-1.338307463,-1.344292971,1.64730501,1.287875231,-0.748616065,-15.87591469,,
1.501501502,-1.35450697,-1.345186319,1.646417335,1.287642762,-0.748149268,-15.93865542,,
1.601601602,-1.352203568,-1.356046581,1.63552966,1.287418903,-0.749682471,-16.00139614,,
1.701701702,-1.361406173,-1.354906843,1.635141985,1.269195043,-0.739215673,-16.06413687,,
1.801801802,-1.364608778,-1.367767106,1.63375431,1.268971184,-0.738748876,-16.1268776,,
1.901901902,-1.363110404,-1.378627368,1.614384047,1.259247325,-0.726554167,-16.18961833,,
2.002002002,-1.369626477,-1.387178152,1.613184447,1.239973887,-0.758398145,-16.25235906,,
2.102102102,-1.382744911,-1.398444957,1.6059157,1.249144237,-0.74830788,-16.31509978,,
2.202202202,-1.382899962,-1.403441614,1.603801253,1.237493884,-0.758247696,-16.35860241,,
2.302302302,-1.393055013,-1.392969931,1.605686805,1.218384079,-0.754187512,-16.35761946,,
2.402402402,-1.372210064,-1.416132882,1.605572358,1.23615916,-0.756127329,-16.35663652,,
2.502502503,-1.384077086,-1.432991027,1.585801449,1.222391197,-0.755984867,-16.35565357,,
2.602602603,-1.405505929,-1.453798041,1.592984908,1.217991023,-0.757818409,-16.35467063,,
2.702702703,-1.403951105,-1.437592006,1.592656312,1.217524194,-0.765645612,-16.35368768,,
2.802802803,-1.416213786,-1.459385971,1.584593357,1.198057364,-0.767349574,-16.35270474,,
