timestamp,angle_interp,pMMG
0,164.6856867,1.437447236
0.001,164.6890482,1.437576306
0.002,164.6924097,1.437705377
0.003,164.6957712,1.456834447
0.004,164.6991327,1.456963517
0.005,164.7024942,1.457092587
0.006,164.7058556,1.457221658
0.007,164.7092171,1.457350728
0.008,164.7125786,1.457479798
0.009,164.7159401,1.457608869
0.01,164.7193016,1.457737939
0.011,164.7226631,1.457867009
0.012,164.7260246,1.457996079
0.013,164.729386,1.43912515
0.014,164.7327475,1.43925422
0.015,164.736109,1.43938329
0.016,164.7394705,1.439512361
0.017,164.742832,1.439641431
0.018,164.7461935,1.439770501
0.019,164.749555,1.439899571
0.02,164.7529164,1.440028642
0.021,164.7562779,1.440157712
0.022,164.7596394,1.440286782
0.023,164.7630009,1.440415852
0.024,164.7663624,1.440544923
0.025,164.7697239,1.440673993
0.026,164.7730854,1.440803063
0.027,164.7764468,1.440932134
0.028,164.7784011,1.44100717
0.029,164.7803553,1.441082207
0.03,164.7823096,1.437157243
0.031,164.7842638,1.43723228
0.032,164.786218,1.437307316
0.033,164.7881723,1.437382353
0.034,164.7901265,1.43745739
0.035,164.7920808,1.437532426
0.036,164.794035,1.437607463
0.037,164.7959893,1.437682499
0.038,164.7979435,1.441757536
0.039,164.7998977,1.441832573
0.04,164.801852,1.441907609
0.041,164.8038062,1.441982646
0.042,164.8057605,1.442057682
0.043,164.8077147,1.461132719
0.044,164.8096689,1.461207755
0.045,164.8116232,1.461282792
0.046,164.8135774,1.461357829
0.047,164.8155317,1.461432865
0.048,164.8174859,1.461507902
0.049,164.8194401,1.461582938
0.05,164.8213944,1.461657975
0.051,164.8233486,1.461733012
0.052,164.8253029,1.461808048
0.053,164.8272571,1.442883085
0.054,164.8292113,1.442958121
0.055,164.8311656,1.443033158
0.056,164.8331198,1.443108194
0.057,164.8350741,1.443183231
0.058,164.8370283,1.462258268
0.059,164.8389825,1.462333304
0.06,164.8409368,1.462408341
0.061,164.8420164,1.462449796
0.062,164.8430961,1.45949125
0.063,164.8441757,1.459532705
0.064,164.8452554,1.45957416
0.065,164.846335,1.459615615
0.066,164.8474147,1.45965707
0.067,164.8484943,1.443698525
0.068,164.8495739,1.44373998
0.069,164.8506536,1.443781435
0.07,164.8517332,1.443822889
0.071,164.8528129,1.443864344
0.072,164.8538925,1.443905799
0.073,164.8549722,1.443947254
0.074,164.8560518,1.443988709
0.075,164.8571314,1.444030164
0.076,164.8582111,1.444071619
0.077,164.8592907,1.444113074
0.078,164.8603704,1.440154528
0.079,164.86145,1.440195983
0.08,164.8625297,1.463237438
0.081,164.8636093,1.463278893
0.082,164.864689,1.463320348
0.083,164.8657686,1.463361803
0.084,164.8668482,1.463403258
0.085,164.8679279,1.463444713
0.086,164.8690075,1.463486167
0.087,164.8700872,1.463527622
0.088,164.8711668,1.463569077
0.089,164.8722465,1.463610532
0.09,164.8733261,1.463651987
0.091,164.8744058,1.463693442
0.092,164.8754854,1.463734897
0.093,164.876565,1.444776351
0.094,164.8776447,1.444817806
0.095,164.8829604,1.445021914
0.096,164.8882762,1.445226021
0.097,164.8935919,1.445430128
0.098,164.8989076,1.464634235
0.099,164.9042234,1.464838342
0.1,164.9095391,1.465042449
0.101,164.9148548,1.465246557
0.102,164.9201706,1.465450664
0.103,164.9254863,1.465654771
0.104,164.930802,1.465858878
0.105,164.9361178,1.466062985
0.106,164.9414335,1.466267092
0.107,164.9467492,1.4664712
0.108,164.952065,1.482675307
