timestamp,angle_interp,pMMG
0,171.2807708,2.691759987
0.001,171.2809131,2.691764022
0.002,171.2810555,2.691768057
0.003,171.2811979,2.691772093
0.004,171.2813403,2.691776128
0.005,171.2814827,2.691780163
0.006,171.281625,2.691784199
0.007,171.2817674,2.691788234
0.008,171.2819098,2.69179227
0.009,171.2820522,2.691796305
0.01,171.2821946,2.69180034
0.011,171.2824518,2.691807629
0.012,171.2827089,2.691814918
0.013,171.2829661,2.691822207
0.014,171.2832233,2.691829497
0.015,171.2834805,2.691836786
0.016,171.2837377,2.691844075
0.017,171.2839949,2.710833264
0.018,171.2842521,2.710858653
0.019,171.2845092,2.710865942
0.02,171.2847664,2.710873231
0.021,171.2850236,2.71088052
0.022,171.2852808,2.710887809
0.023,171.285538,2.710895098
0.024,171.2857952,2.710902387
0.025,171.2860524,2.710909676
0.026,171.2863095,2.710916965
0.027,171.2865667,2.734924255
0.028,171.2868239,2.734931544
0.029,171.2870811,2.734938833
0.03,171.2873383,2.710946122
0.031,171.2875955,2.710953411
0.032,171.2878527,2.7109607
0.033,171.2881098,2.710967989
0.034,171.288367,2.710975278
0.035,171.2886242,2.710982567
0.036,171.2888814,2.710989856
0.037,171.2891386,2.710997145
0.038,171.2893958,2.711004434
0.039,171.289653,2.711011724
0.04,171.2899101,2.711019013
0.041,171.2901673,2.711026302
0.042,171.2904245,2.731033591
0.043,171.2906817,2.73104088
0.044,171.2892121,2.730999229
0.045,171.2877425,2.730957578
0.046,171.2862729,2.730915928
0.047,171.2848033,2.730874277
0.048,171.2833338,2.730832626
0.049,171.2818642,2.730790976
0.05,171.2803946,2.730749325
0.051,171.278925,2.730707674
0.052,171.2774554,2.730666024
0.053,171.2759858,2.730624373
0.054,171.2745162,2.730582722
0.055,171.2730466,2.730541072
0.056,171.271577,2.730499421
0.057,171.2701074,2.73045777
0.058,171.2686379,2.73041612
0.059,171.2671683,2.710374469
0.06,171.2656987,2.710332818
0.061,171.2642291,2.710291168
0.062,171.2627595,2.710249517
0.063,171.2612899,2.730207866
0.064,171.2598203,2.730166216
0.065,171.2583507,2.730124565
0.066,171.2568811,2.730082914
0.067,171.2554116,2.730041264
0.068,171.253942,2.729999613
0.069,171.2524724,2.729957962
0.07,171.2510028,2.729916312
0.071,171.2495332,2.729874661
0.072,171.2480636,2.72983301
0.073,171.246594,2.729791359
0.074,171.2451244,2.729749709
0.075,171.2436548,2.729708058
0.076,171.2421852,2.729666407
0.077,171.2424168,2.729672971
0.078,171.2426484,2.729679534
0.079,171.24288,2.729686097
0.08,171.2431115,2.72969266
0.081,171.2433431,2.729699223
0.082,171.2435747,2.729705786
0.083,171.2438062,2.729712349
0.084,171.2440378,2.729718912
0.085,171.2442694,2.729725476
0.086,171.244501,2.729732039
0.087,171.2447325,2.729738602
0.088,171.2449641,2.729745165
0.089,171.2451957,2.729751728
0.09,171.2454272,2.729758291
0.091,171.2456588,2.729764854
0.092,171.2458904,2.729771417
0.093,171.246122,2.709777981
0.094,171.2463535,2.709784544
0.095,171.2465851,2.709791107
0.096,171.2468167,2.70979767
0.097,171.2470482,2.709804233
0.098,171.2472798,2.709810796
0.099,171.2475114,2.709817359
0.1,171.247743,2.709823923
0.101,171.2479745,2.709830486
0.102,171.2482061,2.709837049
0.103,171.2484377,2.690843612
0.104,171.2486692,2.690850175
0.105,171.2489008,2.690856738
0.106,171.2491324,2.690863301
0.107,171.249364,2.690869864
0.108,171.2495955,2.690876428
0.109,171.2498271,2.709882991
0.11,171.2500587,2.690889554
0.111,171.2486929,2.690850844
0.112,171.247327,2.709812135
0.113,171.2459612,2.709773425
0.114,171.2445954,2.709734716
0.115,171.2432296,2.709696006
0.116,171.2418638,2.709657296
0.117,171.240498,2.709618587
0.118,171.2391321,2.709579877
0.119,171.2377663,2.709541168
0.12,171.2364005,2.690502458
0.121,171.2350347,2.690463749
0.122,171.2336689,2.690425039
0.123,171.2323031,2.690386329
0.124,171.2309372,2.69034762
0.125,171.2295714,2.69030891
0.126,171.2282056,2.690270201
0.127,171.2268398,2.690231491
0.128,171.225474,2.690192782
0.129,171.2241082,2.670154072
0.13,171.2227423,2.670115362
0.131,171.2213765,2.670076653
0.132,171.2200107,2.670037943
0.133,171.2186449,2.669999234
0.134,171.2172791,2.669960524
0.135,171.2159133,2.669921815
0.136,171.2145475,2.669883105
0.137,171.2131816,2.669844395
0.138,171.2118158,2.669805686
0.139,171.21045,2.669766976
0.14,171.2090842,2.669728267
0.141,171.2077184,2.669689557
0.142,171.2063526,2.669650848
0.143,171.2049867,2.669612138
0.144,171.2027726,2.669549386
0.145,171.2005585,2.669486634
0.146,171.1983443,2.650423881
0.147,171.1961302,2.650361129
0.148,171.1939161,2.650298377
0.149,171.191702,2.650235625
0.15,171.1894878,2.650172872
0.151,171.1872737,2.65011012
0.152,171.1850596,2.650047368
0.153,171.1828454,2.649984616
0.154,171.1806313,2.649921863
0.155,171.1784172,2.649859111
0.156,171.176203,2.649796359
0.157,171.1739889,2.649733607
0.158,171.1717748,2.668670854
0.159,171.1695606,2.649608102
0.16,171.1673465,2.64954535
0.161,171.1651324,2.649482597
0.162,171.1629183,2.649419845
0.163,171.1607041,2.649357093
0.164,171.15849,2.649294341
0.165,171.1562759,2.649231588
0.166,171.1540617,2.629168836
0.167,171.1518476,2.629106084
0.168,171.1496335,2.629043332
0.169,171.1474193,2.628980579
0.17,171.1452052,2.628917827
0.171,171.1429911,2.628855075
0.172,171.1407769,2.632792323
0.173,171.1385628,2.63272957
0.174,171.1363487,2.632666818
0.175,171.1341346,2.632604066
0.176,171.1319204,2.632541314
0.177,171.130998,2.63251517
0.178,171.1300755,2.632489027
0.179,171.1291531,2.632462884
0.18,171.1282307,2.64843674
0.181,171.1273082,2.648410597
0.182,171.1263858,2.648384453
0.183,171.1254634,2.64835831
0.184,171.1245409,2.648332167
0.185,171.1236185,2.648306023
0.186,171.1226961,2.64827988
0.187,171.1217736,2.648253736
0.188,171.1208512,2.648227593
0.189,171.1199288,2.62820145
0.19,171.1190063,2.628175306
0.191,171.1180839,2.628149163
0.192,171.1171615,2.62812302
0.193,171.116239,2.628096876
0.194,171.1153166,2.628070733
0.195,171.1143942,2.628044589
0.196,171.1134717,2.628018446
0.197,171.1125493,2.627992303
0.198,171.1116269,2.627966159
0.199,171.1107044,2.627940016
0.2,171.109782,2.627913872
0.201,171.1088595,2.627887729
0.202,171.1079371,2.651861586
0.203,171.1070147,2.627835442
0.204,171.1060922,2.627809299
0.205,171.1051698,2.627783156
0.206,171.1042474,2.627757012
0.207,171.1033249,2.607730869
0.208,171.1024025,2.607704725
0.209,171.1014801,2.607678582
0.21,171.1005576,2.627652439
0.211,171.0956091,2.627512189
0.212,171.0906606,2.62737194
0.213,171.0857121,2.62723169
0.214,171.0807636,2.627091441
0.215,171.075815,2.626951191
0.216,171.0708665,2.626810942
0.217,171.065918,2.626670692
0.218,171.0609695,2.626530443
0.219,171.056021,2.630390193
0.22,171.0510724,2.630249944
0.221,171.0461239,2.626109694
0.222,171.0411754,2.625969445
0.223,171.0362269,2.625829195
0.224,171.0312784,2.625688946
0.225,171.0263298,2.625548696
0.226,171.0213813,2.625408447
0.227,171.0164328,2.645268197
0.228,171.0114843,2.645127948
0.229,171.0065358,2.644987699
0.23,171.0015873,2.644847449
0.231,170.9966387,2.6447072
0.232,170.9916902,2.64456695
0.233,170.9867417,2.624426701
0.234,170.9817932,2.644286451
0.235,170.9768447,2.644146202
0.236,170.9718961,2.644005952
0.237,170.9669476,2.643865703
0.238,170.9619991,2.643725453
0.239,170.9570506,2.662585204
0.24,170.9521021,2.662444954
0.241,170.9471535,2.662304705
0.242,170.942205,2.662164455
0.243,170.9372565,2.662024206
0.244,170.9388157,2.662068396
0.245,170.9403749,2.662112586
0.246,170.9419341,2.662156775
0.247,170.9434932,2.662200965
0.248,170.9450524,2.662245155
0.249,170.9466116,2.662289345
0.25,170.9481708,2.662333535
0.251,170.94973,2.662377725
0.252,170.9512892,2.662421915
0.253,170.9528483,2.662466105
0.254,170.9544075,2.662510295
0.255,170.9559667,2.662554484
0.256,170.9575259,2.662598674
0.257,170.9590851,2.662642864
0.258,170.9606442,2.662687054
0.259,170.9622034,2.662731244
0.26,170.9637626,2.662775434
0.261,170.9653218,2.662819624
0.262,170.966881,2.662863814
0.263,170.9684402,2.662908004
0.264,170.9699993,2.662952194
0.265,170.9715585,2.662996383
0.266,170.9731177,2.663040573
0.267,170.9746769,2.663084763
0.268,170.9762361,2.663128953
0.269,170.9777953,2.663173143
0.27,170.9793544,2.683217333
0.271,170.9809136,2.683261523
0.272,170.9824728,2.683305713
0.273,170.984032,2.683349903
0.274,170.9855912,2.683394092
0.275,170.9871503,2.683438282
0.276,170.9887095,2.683482472
0.277,170.9853645,2.683387667
0.278,170.9820194,2.683292863
0.279,170.9786743,2.683198058
0.28,170.9753293,2.683103253
0.281,170.9719842,2.702008448
0.282,170.9686391,2.701913643
0.283,170.9652941,2.701818839
0.284,170.961949,2.701724034
0.285,170.958604,2.701629229
0.286,170.9552589,2.701534424
0.287,170.9519138,2.701439619
0.288,170.9485688,2.701344814
0.289,170.9452237,2.70125001
0.29,170.9418786,2.662155205
0.291,170.9385336,2.6620604
0.292,170.9351885,2.661965595
0.293,170.9318434,2.66187079
0.294,170.9284984,2.661775986
0.295,170.9251533,2.661681181
0.296,170.9218083,2.661586376
0.297,170.9184632,2.661491571
0.298,170.9151181,2.661396766
0.299,170.9117731,2.661301961
0.3,170.908428,2.661207157
0.301,170.9050829,2.661112352
0.302,170.9017379,2.661017547
0.303,170.8983928,2.660922742
0.304,170.8950477,2.660827937
0.305,170.8917027,2.660733132
0.306,170.8883576,2.660638328
0.307,170.8850126,2.660543523
0.308,170.8816675,2.660448718
0.309,170.8783224,2.660353913
0.31,170.8749774,2.660259108
0.311,170.8731457,2.660207195
0.312,170.871314,2.660155281
0.313,170.8694823,2.660103367
0.314,170.8676505,2.660051454
0.315,170.8658188,2.65999954
0.316,170.8639871,2.659947626
0.317,170.8621554,2.659895713
0.318,170.8603237,2.659843799
0.319,170.858492,2.679791885
0.32,170.8566603,2.679739972
0.321,170.8548286,2.679688058
0.322,170.8529969,2.679636145
0.323,170.8511652,2.679584231
0.324,170.8493335,2.679532317
0.325,170.8475018,2.679480404
0.326,170.8456701,2.67942849
0.327,170.8438384,2.679376576
0.328,170.8420067,2.679324663
0.329,170.840175,2.679272749
0.33,170.8383433,2.679220835
0.331,170.8365116,2.679168922
0.332,170.8346799,2.679117008
0.333,170.8328482,2.679065094
0.334,170.8310164,2.679013181
0.335,170.8291847,2.678961267
0.336,170.827353,2.678909353
0.337,170.8255213,2.67885744
0.338,170.8236896,2.678805526
0.339,170.8218579,2.678753612
0.34,170.8200262,2.678701699
0.341,170.8181945,2.678649785
0.342,170.8163628,2.678597871
0.343,170.8145311,2.678545958
0.344,170.8142328,2.678537504
0.345,170.8139345,2.67852905
0.346,170.8136362,2.678520596
0.347,170.8133379,2.678512141
0.348,170.8130396,2.697503687
0.349,170.8127413,2.717495233
0.35,170.8124431,2.717486779
0.351,170.8121448,2.717478325
0.352,170.8118465,2.717469871
0.353,170.8115482,2.717461417
0.354,170.8112499,2.717452963
0.355,170.8109516,2.717444509
0.356,170.8106533,2.717436055
0.357,170.810355,2.717427601
0.358,170.8100567,2.717419146
0.359,170.8097584,2.717410692
0.36,170.8094601,2.717402238
0.361,170.8091619,2.717393784
0.362,170.8088636,2.71738533
0.363,170.8085653,2.717376876
0.364,170.808267,2.697368422
0.365,170.8079687,2.697359968
0.366,170.8076704,2.697351514
0.367,170.8073721,2.69734306
0.368,170.8070738,2.717334605
0.369,170.8067755,2.717326151
0.37,170.8064772,2.717317697
0.371,170.8061789,2.717309243
0.372,170.8058806,2.717300789
0.373,170.8055824,2.717292335
