timestamp,angle_interp,pMMG
0,168.6903574,2.124782605
0.001,168.69233,2.12480787
0.002,168.6943027,2.144833136
0.003,168.6962754,2.124858402
0.004,168.6982481,2.144883667
0.005,168.7002208,2.144908933
0.006,168.7021935,2.144934198
0.007,168.7041661,2.144959464
0.008,168.7061388,2.144984729
0.009,168.7081115,2.164009995
0.01,168.7100842,2.14503526
0.011,168.7120569,2.145060526
0.012,168.7140296,2.145085791
0.013,168.7160022,2.145111057
0.014,168.7179749,2.164136323
0.015,168.7199476,2.164161588
0.016,168.720293,2.164166012
0.017,168.7206384,2.164170435
0.018,168.7209838,2.164174859
0.019,168.7213292,2.164179283
0.02,168.7216746,2.164183706
0.021,168.7220199,2.14518813
0.022,168.7223653,2.145192554
0.023,168.7227107,2.145196977
0.024,168.7230561,2.145201401
0.025,168.7234015,2.145205825
0.026,168.7237469,2.145210248
0.027,168.7240923,2.145214672
0.028,168.7244377,2.145219096
0.029,168.7247831,2.145223519
0.03,168.7251285,2.164227943
0.031,168.7254739,2.164232367
0.032,168.7258192,2.16423679
0.033,168.7261646,2.168241214
0.034,168.72651,2.168245638
0.035,168.7268554,2.168250061
0.036,168.7272008,2.168254485
0.037,168.7275462,2.168258909
0.038,168.7278916,2.164263332
0.039,168.728237,2.164267756
0.04,168.7285824,2.16427218
0.041,168.7289278,2.164276603
0.042,168.7292732,2.164281027
0.043,168.7296185,2.164285451
0.044,168.7299639,2.164289874
0.045,168.7303093,2.164294298
0.046,168.7306547,2.164298722
0.047,168.7310001,2.164303145
0.048,168.7313455,2.145307569
0.049,168.7332537,2.164332008
0.05,168.7351618,2.164356447
0.051,168.73707,2.183380887
0.052,168.7389781,2.183405326
0.053,168.7408863,2.183429765
0.054,168.7427945,2.183454204
0.055,168.7447026,2.183478643
0.056,168.7466108,2.183503083
0.057,168.748519,2.203527522
0.058,168.7504271,2.203551961
0.059,168.7523353,2.2035764
0.06,168.7542434,2.203600839
0.061,168.7561516,2.203625278
0.062,168.7580598,2.203649718
0.063,168.7599679,2.222674157
0.064,168.7618761,2.222698596
0.065,168.7637842,2.222723035
0.066,168.7656924,2.241747474
0.067,168.7676006,2.222771914
0.068,168.7695087,2.241796353
0.069,168.7714169,2.241820792
0.07,168.7733251,2.241845231
0.071,168.7752332,2.24186967
0.072,168.7771414,2.241894109
0.073,168.7790495,2.241918549
0.074,168.7809577,2.241942988
0.075,168.7828659,2.241967427
0.076,168.784774,2.241991866
0.077,168.7866822,2.242016305
0.078,168.7885904,2.242040745
0.079,168.7904985,2.242065184
0.08,168.7924067,2.242089623
0.081,168.7943148,2.242114062
0.082,168.796223,2.242138501
0.083,168.7953536,2.242127367
